time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.201,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.401,0.0,0.0,-0.0033,0.0026,-0.0,-0.0,0.0,0.0026
0.5,0.0,0.0,-0.0033,0.0055,-0.0,0.0,0.0,0.0055
0.6,0.0,0.0,-0.0033,0.0086,-0.0,-0.0,0.0,0.0086
0.7,0.0,0.0,-0.0033,0.013,-0.0,-0.0,0.0,0.013
0.8,0.0,0.0,-0.0033,0.0172,-0.0,-0.0,0.0001,0.0172
0.9,0.0,0.0,-0.0033,0.025,-0.0,-0.0,0.0001,0.025
1.0,0.0522,-0.0002,-0.0033,0.0343,-0.0,-0.0,0.0001,0.0179
1.1,0.0522,-0.0002,-0.0033,0.0455,0.0,0.001,0.0002,0.0067
1.2,0.0522,-0.0002,-0.0033,0.0585,0.0,0.001,0.0002,0.0062
1.3,0.0522,-0.0002,-0.0033,0.0742,0.0,0.0023,0.0003,0.0219
1.4,0.1145,-0.0003,-0.0021,0.0908,0.0001,0.0023,0.0004,0.0237
1.5,0.1145,-0.0003,-0.0021,0.1128,0.0001,0.0023,0.0005,0.0018
1.601,0.1145,-0.0003,-0.0021,0.1292,0.0002,0.0023,0.0005,0.0147
1.7,0.1683,-0.0004,-0.0,0.1505,0.0002,0.0033,0.0006,0.0179
1.8,0.1683,-0.0004,-0.0,0.1754,0.0003,0.0033,0.0007,0.0071
1.9,0.1683,-0.0004,-0.0,0.1954,0.0004,0.0033,0.0008,0.0271
2.0,0.2289,-0.0003,0.0033,0.2206,0.0005,0.0033,0.0008,0.0083
2.1,0.2289,-0.0003,0.0033,0.2489,0.0006,0.0044,0.0008,0.02
2.2,0.2847,-0.0,0.0044,0.2772,0.0007,0.0054,0.0008,0.0075
2.3,0.2847,-0.0,0.0044,0.3022,0.0009,0.0054,0.0008,0.0175
2.401,0.3372,0.0003,0.0066,0.3287,0.0011,0.0077,0.0008,0.0085
2.5,0.3372,0.0003,0.0066,0.3589,0.0013,0.0077,0.0009,0.0217
2.6,0.3947,0.0007,0.0077,0.3901,0.0015,0.0087,0.0009,0.0047
2.701,0.3947,0.0007,0.0077,0.4227,0.0018,0.0087,0.0009,0.028
2.8,0.4543,0.0012,0.0087,0.4465,0.002,0.0087,0.0009,0.0078
2.9,0.5106,0.0016,0.0077,0.4937,0.0025,0.0098,0.0009,0.0169
3.0,0.5106,0.0016,0.0077,0.5188,0.0027,0.0098,0.001,0.0082
3.1,0.5648,0.002,0.0066,0.5578,0.0031,0.011,0.0012,0.0072
3.2,0.5648,0.002,0.0066,0.5895,0.0035,0.011,0.0013,0.0247
3.301,0.6171,0.0024,0.0077,0.619,0.0038,0.011,0.0014,0.0024
3.4,0.6692,0.0028,0.0087,0.6556,0.0042,0.012,0.0015,0.0137
3.5,0.72,0.0033,0.0087,0.7006,0.0048,0.0131,0.0017,0.0194
3.6,0.7703,0.0037,0.0087,0.7478,0.0054,0.0131,0.0019,0.0226
3.7,0.7703,0.0037,0.0087,0.7784,0.0058,0.0131,0.0021,0.0083
3.8,0.8232,0.0042,0.0099,0.8249,0.0064,0.0131,0.0022,0.0028
3.9,0.8732,0.0047,0.011,0.8577,0.0069,0.0131,0.0023,0.0156
4.0,0.8732,0.0047,0.011,0.8929,0.0074,0.0141,0.0024,0.0198
4.1,0.9262,0.0053,0.012,0.9156,0.0077,0.0152,0.0025,0.0109
4.2,0.9771,0.0059,0.0131,0.982,0.0088,0.0164,0.0028,0.0056
4.3,1.028,0.0066,0.0131,1.0106,0.0093,0.0175,0.0029,0.0176
4.4,1.0823,0.0073,0.0154,1.0583,0.0101,0.0185,0.0031,0.0242
4.5,1.0823,0.0073,0.0154,1.0929,0.0108,0.0208,0.0032,0.0111
4.6,1.1379,0.0082,0.0154,1.1448,0.0119,0.0218,0.0036,0.0078
4.7,1.1919,0.009,0.0154,1.171,0.0124,0.0218,0.0037,0.0212
4.8,1.2497,0.01,0.0164,1.226,0.0136,0.0218,0.0041,0.0239
4.901,1.2497,0.01,0.0164,1.2581,0.0143,0.0218,0.0042,0.0095
5.0,1.3036,0.0109,0.0175,1.3051,0.0154,0.0229,0.0045,0.0048
5.1,1.3554,0.0118,0.0187,1.3432,0.0163,0.0251,0.0048,0.013
5.2,1.4059,0.0127,0.0197,1.3807,0.0173,0.0262,0.005,0.0256
5.3,1.4628,0.0139,0.0208,1.4354,0.0188,0.0272,0.0054,0.0278
5.4,1.4628,0.0139,0.0208,1.4727,0.0198,0.0295,0.0058,0.0115
5.5,1.5133,0.015,0.0229,1.516,0.0212,0.0316,0.0061,0.0067
5.6,1.5701,0.0164,0.0251,1.5722,0.023,0.0326,0.0066,0.0069
5.7,1.6202,0.0177,0.0262,1.6041,0.0241,0.0349,0.0068,0.0173
5.8,1.6202,0.0177,0.0262,1.64,0.0253,0.036,0.0072,0.0213
5.9,1.6711,0.019,0.0284,1.6864,0.027,0.0372,0.0075,0.0172
6.0,1.7277,0.0208,0.0316,1.7182,0.0282,0.0403,0.0078,0.012
6.1,1.7868,0.0226,0.0316,1.7846,0.031,0.0426,0.0084,0.0086
