time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,-0.0012,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0069,-0.0,-0.0012,0.0,0.0069
0.3,0.0,0.0,-0.0033,0.0102,-0.0,-0.0012,0.0,0.0102
0.401,0.0,0.0,-0.0033,0.0121,-0.0,-0.0012,0.0,0.0121
0.501,0.0,0.0,-0.0033,0.0143,-0.0,-0.0012,0.0,0.0143
0.6,0.0321,-0.0001,-0.0033,0.0173,-0.0,-0.0012,0.0,0.0148
0.7,0.0321,-0.0001,-0.0033,0.0221,-0.0,-0.0012,0.0,0.01
0.8,0.0321,-0.0001,-0.0033,0.0285,-0.0,-0.0,0.0001,0.0036
0.9,0.0321,-0.0001,-0.0033,0.0357,-0.0,-0.0,0.0001,0.0036
1.0,0.0321,-0.0001,-0.0033,0.0457,-0.0,-0.0,0.0001,0.0137
1.101,0.0642,-0.0002,-0.0033,0.0573,-0.0,0.0,0.0002,0.0069
1.2,0.0642,-0.0002,-0.0033,0.0685,-0.0,0.0,0.0002,0.0043
1.301,0.0642,-0.0002,-0.0033,0.0808,-0.0,-0.0,0.0002,0.0166
1.4,0.099,-0.0003,-0.0021,0.1057,-0.0,-0.0,0.0003,0.0067
1.5,0.1293,-0.0004,-0.0021,0.1249,-0.0,-0.0,0.0003,0.0045
1.6,0.1612,-0.0004,-0.0,0.1455,-0.0,0.001,0.0004,0.0157
1.7,0.1612,-0.0004,-0.0,0.167,0.0,0.0021,0.0004,0.0058
1.8,0.1914,-0.0004,0.0012,0.1905,0.0001,0.0033,0.0005,0.001
1.9,0.2289,-0.0003,0.0033,0.2148,0.0002,0.0044,0.0005,0.0141
2.0,0.2289,-0.0003,0.0033,0.2402,0.0003,0.0044,0.0005,0.0113
2.1,0.2646,-0.0001,0.0044,0.2657,0.0004,0.0054,0.0006,0.0012
2.2,0.2982,0.0,0.0054,0.2933,0.0006,0.0054,0.0006,0.0049
2.3,0.3319,0.0002,0.0066,0.3204,0.0007,0.0054,0.0006,0.0115
2.4,0.3629,0.0005,0.0066,0.3491,0.0009,0.0075,0.0006,0.0138
2.5,0.3629,0.0005,0.0066,0.3772,0.0012,0.0087,0.0006,0.0143
2.6,0.3947,0.0007,0.0077,0.407,0.0015,0.0108,0.0007,0.0123
2.7,0.4251,0.0009,0.0077,0.4373,0.0018,0.012,0.0008,0.0122
2.8,0.4601,0.0012,0.0087,0.468,0.0022,0.0131,0.0009,0.008
2.9,0.4938,0.0015,0.0087,0.4993,0.0026,0.0141,0.0011,0.0056
3.001,0.5269,0.0018,0.0066,0.5326,0.0031,0.0152,0.0013,0.0059
3.1,0.5648,0.002,0.0066,0.5652,0.0037,0.0175,0.0017,0.0017
3.2,0.5965,0.0022,0.0066,0.5919,0.0042,0.0175,0.002,0.0049
3.3,0.6279,0.0025,0.0077,0.6329,0.0049,0.0185,0.0024,0.0056
3.4,0.6597,0.0027,0.0087,0.6682,0.0056,0.0195,0.0028,0.009
3.501,0.6918,0.003,0.0087,0.7036,0.0063,0.0218,0.0032,0.0123
3.6,0.7245,0.0033,0.0087,0.7402,0.0071,0.0218,0.0037,0.0162
