time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,-0.0108,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,-0.0108,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0,-0.0,-0.0108,-0.0,0.0
0.4,0.0,0.0,-0.0033,0.0036,-0.0,-0.0108,-0.0,0.0036
0.5,0.0,0.0,-0.0033,0.0052,-0.0001,-0.0108,-0.0,0.0052
0.6,0.0,0.0,-0.0033,0.007,-0.0001,-0.0108,-0.0001,0.007
0.7,0.0,0.0,-0.0033,0.0083,-0.0001,-0.0108,-0.0001,0.0083
0.8,0.0,0.0,-0.0033,0.0106,-0.0001,-0.0108,-0.0001,0.0106
0.9,0.0,0.0,-0.0033,0.0133,-0.0001,-0.0108,-0.0001,0.0133
1.0,0.0,0.0,-0.0033,0.0178,-0.0002,-0.0108,-0.0001,0.0178
1.1,0.0,0.0,-0.0033,0.0237,-0.0003,-0.0108,-0.0002,0.0237
1.2,0.0522,-0.0002,-0.0033,0.0316,-0.0003,-0.0108,-0.0002,0.0207
1.3,0.0522,-0.0002,-0.0033,0.0421,-0.0005,-0.0108,-0.0003,0.0101
1.401,0.0522,-0.0002,-0.0033,0.0536,-0.0006,-0.0108,-0.0004,0.0014
1.501,0.0522,-0.0002,-0.0033,0.0679,-0.0007,-0.0098,-0.0005,0.0156
1.6,0.1145,-0.0003,-0.0021,0.0855,-0.0009,-0.0098,-0.0006,0.029
1.7,0.1145,-0.0003,-0.0021,0.1025,-0.0011,-0.0087,-0.0007,0.012
1.8,0.1145,-0.0003,-0.0021,0.1095,-0.0011,-0.0087,-0.0008,0.0051
1.9,0.1145,-0.0003,-0.0021,0.1316,-0.0013,-0.0087,-0.0009,0.0171
2.0,0.1683,-0.0004,-0.0,0.1667,-0.0016,-0.0075,-0.0012,0.002
2.1,0.1683,-0.0004,-0.0,0.1902,-0.0017,-0.0054,-0.0013,0.0219
2.2,0.2289,-0.0003,0.0033,0.2091,-0.0018,-0.0031,-0.0015,0.0199
2.3,0.2289,-0.0003,0.0033,0.2398,-0.0019,-0.0021,-0.0017,0.011
2.401,0.2847,-0.0,0.0044,0.269,-0.0019,-0.0,-0.0018,0.0159
2.5,0.2847,-0.0,0.0044,0.2965,-0.0019,0.0023,-0.0019,0.0119
2.6,0.3372,0.0003,0.0066,0.3259,-0.0017,0.0045,-0.002,0.0114
2.7,0.3372,0.0003,0.0066,0.3572,-0.0016,0.0056,-0.002,0.0201
2.8,0.3947,0.0007,0.0077,0.3892,-0.0014,0.0066,-0.002,0.0059
2.901,0.3947,0.0007,0.0077,0.4243,-0.0011,0.0077,-0.002,0.0296
3.0,0.4543,0.0012,0.0087,0.4571,-0.0008,0.0087,-0.002,0.0035
3.101,0.5106,0.0016,0.0077,0.4925,-0.0005,0.0099,-0.002,0.0183
3.2,0.5106,0.0016,0.0077,0.5286,-0.0001,0.012,-0.0019,0.018
3.3,0.5648,0.002,0.0066,0.5678,0.0004,0.012,-0.0016,0.0034
3.401,0.6171,0.0024,0.0077,0.6047,0.0009,0.0143,-0.0014,0.0125
3.5,0.6692,0.0028,0.0087,0.6441,0.0015,0.0164,-0.0011,0.0252
3.6,0.6692,0.0028,0.0087,0.683,0.0022,0.0197,-0.0007,0.0138
3.7,0.72,0.0033,0.0087,0.7244,0.0031,0.022,-0.0002,0.0044
3.8,0.7703,0.0037,0.0087,0.7653,0.004,0.023,0.0004,0.005
3.9,0.8232,0.0042,0.0099,0.8068,0.005,0.0251,0.001,0.0163
4.0,0.8732,0.0047,0.011,0.8484,0.0061,0.0274,0.0017,0.0248
4.1,0.8732,0.0047,0.011,0.8822,0.0071,0.0295,0.0023,0.0094
4.2,0.9262,0.0053,0.012,0.9245,0.0084,0.0328,0.0031,0.0035
4.3,0.9771,0.0059,0.0131,0.9567,0.0095,0.0361,0.0039,0.0207
4.4,1.028,0.0066,0.0131,1.0215,0.0121,0.0415,0.0055,0.0085
4.5,1.028,0.0066,0.0131,1.0543,0.0135,0.0459,0.0066,0.0272
4.601,1.1379,0.0082,0.0154,1.1103,0.0163,0.0513,0.0085,0.0288
4.7,1.1379,0.0082,0.0154,1.149,0.0183,0.0536,0.0099,0.015
4.8,1.1919,0.009,0.0154,1.1892,0.0205,0.0579,0.0115,0.0118
4.9,1.1919,0.009,0.0154,1.2182,0.0222,0.059,0.0128,0.0295
5.0,1.3036,0.0109,0.0175,1.2915,0.027,0.0688,0.0163,0.0201
5.1,1.3036,0.0109,0.0175,1.3106,0.0283,0.0721,0.0173,0.0188
5.2,1.4059,0.0127,0.0197,1.3889,0.0344,0.0852,0.022,0.0276
5.301,1.4628,0.0139,0.0208,1.4383,0.0388,0.0906,0.0254,0.035
5.4,1.4628,0.0139,0.0208,1.486,0.0434,0.1005,0.0291,0.0376
5.5,1.5133,0.015,0.0229,1.534,0.0486,0.1114,0.0331,0.0395
5.6,1.5701,0.0164,0.0251,1.5538,0.0509,0.1157,0.0349,0.0382
5.7,1.6202,0.0177,0.0262,1.608,0.0574,0.1278,0.0401,0.0416
5.8,1.6711,0.019,0.0284,1.6807,0.0677,0.1517,0.0483,0.0496
5.9,1.7277,0.0208,0.0316,1.728,0.0754,0.1691,0.0546,0.0547
6.0,1.7868,0.0226,0.0316,1.77,0.0829,0.1833,0.0607,0.0625
6.1,1.8441,0.0245,0.0328,1.8154,0.0918,0.203,0.0682,0.0731
6.2,1.8441,0.0245,0.0328,1.843,0.0975,0.2161,0.073,0.073
6.3,1.9015,0.0264,0.0349,1.8901,0.1084,0.2402,0.0823,0.0827
6.4,1.9554,0.0283,0.0361,1.931,0.1186,0.2597,0.0911,0.0935
6.5,1.9554,0.0283,0.0361,1.931,0.1186,0.2597,0.0911,0.0935
