time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.101,0.0,0.0,-1.6439,-0.0005,-0.0001,0.181,-0.0005,0.0005
0.2,0.0,0.0,-1.6439,0.001,0.0002,0.1799,0.001,0.001
0.3,0.0,0.0,-1.6439,0.0053,0.0009,0.1745,0.0052,0.0053
0.4,0.0,0.0,-1.6439,0.0089,0.0016,0.1787,0.0087,0.009
0.501,0.0,0.0,-1.6439,0.0134,0.0024,0.1756,0.0132,0.0136
0.601,0.0,0.0,-1.6439,0.0176,0.0032,0.1874,0.0173,0.0179
0.7,0.0,0.0,-1.6439,0.0235,0.0043,0.193,0.0232,0.0239
0.8,0.0,0.0,-1.6439,0.029,0.0054,0.1951,0.0286,0.0295
0.9,0.0,0.0,-1.6439,0.0348,0.0065,0.2028,0.0342,0.0354
1.0,0.0,0.0,-1.6439,0.0416,0.008,0.2126,0.0409,0.0424
1.101,0.0,0.0,-1.6439,0.0509,0.01,0.2169,0.05,0.0519
1.2,0.0,0.0,-1.6439,0.0607,0.0123,0.2344,0.0597,0.062
1.3,0.0,0.0,-1.6439,0.0718,0.0149,0.2344,0.0705,0.0733
1.401,0.0,0.0,-1.6439,0.079,0.0167,0.2475,0.0776,0.0808
1.5,0.0,0.0,-1.6439,0.0902,0.0196,0.2585,0.0886,0.0923
1.6,0.0,0.0,-1.6439,0.1042,0.0234,0.2683,0.1022,0.1068
1.7,0.0,0.0,-1.6439,0.1222,0.0285,0.2868,0.1198,0.1255
1.8,0.0,0.0,-1.6439,0.1355,0.0325,0.3032,0.1328,0.1393
1.9,0.0,0.0,-1.6439,0.1437,0.0351,0.3142,0.1408,0.1479
2.0,0.0,0.0,-1.6439,0.1581,0.0399,0.3196,0.1547,0.163
2.1,0.0,0.0,-1.6439,0.175,0.0458,0.3512,0.1712,0.1809
2.2,0.0,0.0,-1.6439,0.1792,0.0474,0.3555,0.1753,0.1854
2.3,0.0,0.0,-1.6439,0.1795,0.0474,0.3533,0.1755,0.1856
2.4,0.0,0.0,-1.6439,0.1795,0.0475,0.3522,0.1756,0.1857
2.5,0.0,0.0,-1.6439,0.1796,0.0475,0.3414,0.1756,0.1858
2.6,0.0,0.0,-1.6439,0.1797,0.0475,0.3381,0.1758,0.1859
2.7,0.0,0.0,-1.6439,0.1802,0.0477,0.3381,0.1762,0.1864
2.8,0.0,0.0,-1.6439,0.1806,0.0478,0.3403,0.1766,0.1868
2.9,0.0,0.0,-1.6439,0.1807,0.0479,0.3445,0.1767,0.1869
3.0,0.0,0.0,-1.6439,0.1808,0.0479,0.3478,0.1768,0.1871
3.1,0.0,0.0,-1.6439,0.1809,0.048,0.3491,0.1769,0.1872
3.2,0.0,0.0,-1.6439,0.1809,0.048,0.3491,0.177,0.1872
3.3,0.0,0.0,-1.6439,0.181,0.048,0.3445,0.177,0.1872
3.401,0.0,0.0,-1.6439,0.181,0.048,0.3403,0.177,0.1872
3.5,0.0,0.0,-1.6439,0.181,0.048,0.3457,0.177,0.1873
3.601,0.0,0.0,-1.6439,0.1811,0.048,0.3545,0.1771,0.1874
3.7,0.0,0.0,-1.6439,0.1818,0.0483,0.3533,0.1778,0.1881
3.8,0.0,0.0,-1.6439,0.1845,0.0493,0.3545,0.1804,0.191
3.901,0.0,0.0,-1.6439,0.1892,0.051,0.3491,0.1849,0.1959
4.0,0.0,0.0,-1.6439,0.1925,0.0522,0.3522,0.1882,0.1994
4.102,0.0,0.0,-1.6439,0.1965,0.0537,0.3522,0.1921,0.2037
4.2,0.0,0.0,-1.6439,0.1998,0.0549,0.3445,0.1953,0.2072
4.3,0.0,0.0,-1.6439,0.2038,0.0563,0.3501,0.1992,0.2115
4.401,0.0,0.0,-1.6439,0.2068,0.0574,0.3491,0.202,0.2146
4.5,0.0,0.0,-1.6439,0.2113,0.0591,0.3599,0.2064,0.2194
4.6,0.0,0.0,-1.6439,0.2114,0.0591,0.362,0.2065,0.2195
4.7,0.0,0.0,-1.6439,0.2111,0.059,0.3578,0.2062,0.2192
4.8,0.0,0.0,-1.6439,0.2105,0.0588,0.3578,0.2057,0.2186
4.9,0.0,0.0,-1.6439,0.21,0.0586,0.3665,0.2052,0.218
5.0,0.0,0.0,-1.6439,0.2087,0.0581,0.3632,0.2039,0.2167
5.1,0.0,0.0,-1.6439,0.2025,0.0558,0.3609,0.1979,0.2101
5.201,0.0,0.0,-1.6439,0.1928,0.0522,0.3424,0.1885,0.1997
5.301,0.0,0.0,-1.6439,0.1799,0.0477,0.3337,0.176,0.1862
