time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0016,0.0,0.0012,0.0,0.0016
0.4,0.0,0.0,-0.0033,0.0062,0.0,0.0012,0.0,0.0062
0.5,0.0,0.0,-0.0033,0.0113,0.0,0.0012,0.0,0.0113
0.6,0.0,0.0,-0.0033,0.0172,0.0,0.0012,0.0001,0.0172
0.7,0.0522,-0.0002,-0.0033,0.028,0.0,0.0012,0.0001,0.0243
0.8,0.0522,-0.0002,-0.0033,0.0406,0.0,0.0012,0.0002,0.0116
0.9,0.0522,-0.0002,-0.0033,0.0558,0.0001,0.0012,0.0002,0.0035
1.001,0.0522,-0.0002,-0.0033,0.0727,0.0001,0.0023,0.0003,0.0205
1.101,0.1145,-0.0003,-0.0021,0.0921,0.0001,0.0033,0.0004,0.0224
1.2,0.1145,-0.0003,-0.0021,0.114,0.0002,0.0033,0.0006,0.0008
1.3,0.1145,-0.0003,-0.0021,0.137,0.0003,0.0045,0.0007,0.0224
1.4,0.1683,-0.0004,-0.0,0.1634,0.0004,0.0056,0.0008,0.005
1.501,0.1683,-0.0004,-0.0,0.1911,0.0006,0.0066,0.001,0.0228
1.6,0.2289,-0.0003,0.0033,0.2218,0.0008,0.0087,0.0011,0.0072
1.7,0.2289,-0.0003,0.0033,0.2518,0.0011,0.0099,0.0013,0.0229
1.8,0.2847,-0.0,0.0044,0.2771,0.0014,0.0099,0.0014,0.0078
1.9,0.3372,0.0003,0.0066,0.3171,0.0018,0.011,0.0016,0.0202
2.0,0.3372,0.0003,0.0066,0.353,0.0022,0.0133,0.0018,0.016
2.101,0.3947,0.0007,0.0077,0.3894,0.0028,0.0154,0.0021,0.0057
2.2,0.4543,0.0012,0.0087,0.428,0.0034,0.0175,0.0025,0.0263
2.3,0.4543,0.0012,0.0087,0.4683,0.0041,0.0187,0.0028,0.0143
2.4,0.5106,0.0016,0.0077,0.5082,0.0049,0.0197,0.0033,0.004
2.5,0.5648,0.002,0.0066,0.5499,0.0058,0.022,0.0039,0.0155
2.6,0.6171,0.0024,0.0077,0.5931,0.0069,0.0251,0.0047,0.0244
2.7,0.6171,0.0024,0.0077,0.6373,0.0081,0.0295,0.0056,0.021
2.8,0.6692,0.0028,0.0087,0.6821,0.0096,0.0339,0.0066,0.0146
2.9,0.72,0.0033,0.0087,0.7178,0.0108,0.0372,0.0076,0.0079
3.001,0.7703,0.0037,0.0087,0.7727,0.013,0.0415,0.0093,0.0096
3.101,0.8232,0.0042,0.0099,0.8211,0.0151,0.0459,0.011,0.0111
3.2,0.8732,0.0047,0.011,0.8681,0.0174,0.0503,0.0128,0.0137
3.3,0.9262,0.0053,0.012,0.9156,0.02,0.0546,0.0148,0.0181
3.4,0.9771,0.0059,0.0131,0.9528,0.0222,0.0611,0.0165,0.0292
3.5,1.028,0.0066,0.0131,1.01,0.0258,0.0698,0.0195,0.0264
3.6,1.0823,0.0073,0.0154,1.0615,0.0296,0.0764,0.0226,0.0305
3.701,1.0823,0.0073,0.0154,1.109,0.0335,0.0841,0.0257,0.0374
3.8,1.1379,0.0082,0.0154,1.1587,0.0379,0.0918,0.0294,0.0363
3.901,1.1919,0.009,0.0154,1.2087,0.0427,0.1016,0.0334,0.0377
4.0,1.2497,0.01,0.0164,1.251,0.0473,0.1114,0.0373,0.0374
4.1,1.3036,0.0109,0.0175,1.3141,0.0549,0.1234,0.0438,0.0452
4.2,1.3554,0.0118,0.0187,1.3431,0.0587,0.1342,0.0472,0.0485
4.3,1.4059,0.0127,0.0197,1.4164,0.0694,0.1583,0.0564,0.0576
4.4,1.4628,0.0139,0.0208,1.4625,0.0773,0.1758,0.0634,0.0634
4.5,1.5133,0.015,0.0229,1.5073,0.0858,0.1943,0.0709,0.0711
4.6,1.5701,0.0164,0.0251,1.5502,0.0949,0.215,0.079,0.081
4.7,1.5701,0.0164,0.0251,1.5922,0.1047,0.2389,0.0878,0.0911
4.8,1.6202,0.0177,0.0262,1.6327,0.1152,0.2618,0.0971,0.0983
4.901,1.6711,0.019,0.0284,1.6708,0.126,0.288,0.107,0.107
5.001,1.7277,0.0208,0.0316,1.7075,0.1376,0.3154,0.1174,0.1185
5.1,1.7277,0.0208,0.0316,1.7432,0.1499,0.3426,0.1286,0.1301
5.2,1.7868,0.0226,0.0316,1.7682,0.1593,0.3665,0.1371,0.1379
5.3,1.7868,0.0226,0.0316,1.8059,0.1747,0.4037,0.1514,0.1532
5.401,1.8441,0.0245,0.0328,1.8347,0.1876,0.4342,0.1634,0.1634
5.5,1.8441,0.0245,0.0328,1.8666,0.2031,0.4637,0.1777,0.18
5.6,1.9015,0.0264,0.0349,1.8894,0.215,0.492,0.1889,0.1889
5.7,1.9015,0.0264,0.0349,1.9128,0.2281,0.5194,0.2011,0.202
5.8,1.9554,0.0283,0.0361,1.934,0.2407,0.5456,0.213,0.2134
5.901,1.9554,0.0283,0.0361,1.9533,0.2528,0.5695,0.2244,0.2245
6.001,1.9554,0.0283,0.0361,1.9709,0.2644,0.5924,0.2354,0.2366
