time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.401,0.0,0.0,-0.0033,0.0074,0.0,0.0,0.0,0.0074
0.501,0.0,0.0,-0.0033,0.0113,0.0,-0.0,0.0,0.0113
0.601,0.0,0.0,-0.0033,0.0168,0.0,-0.0,0.0001,0.0168
0.7,0.0,0.0,-0.0033,0.0254,0.0,0.0,0.0001,0.0254
0.8,0.0522,-0.0002,-0.0033,0.0375,0.0,0.0,0.0001,0.0147
0.9,0.0522,-0.0002,-0.0033,0.0524,0.0,0.001,0.0002,0.0002
1.001,0.0522,-0.0002,-0.0033,0.0664,0.0,0.0021,0.0003,0.0142
1.101,0.1145,-0.0003,-0.0021,0.0891,0.0001,0.0033,0.0004,0.0254
1.2,0.1145,-0.0003,-0.0021,0.1117,0.0002,0.0044,0.0005,0.0029
1.3,0.1145,-0.0003,-0.0021,0.1361,0.0003,0.0065,0.0007,0.0216
1.4,0.1683,-0.0004,-0.0,0.1629,0.0005,0.0087,0.0009,0.0055
1.5,0.1683,-0.0004,-0.0,0.1919,0.0008,0.0108,0.0012,0.0236
1.601,0.2289,-0.0003,0.0033,0.2237,0.0012,0.0131,0.0015,0.0054
1.7,0.2289,-0.0003,0.0033,0.2554,0.0017,0.0152,0.0019,0.0265
1.8,0.2847,-0.0,0.0044,0.2904,0.0023,0.0175,0.0023,0.0061
1.9,0.3372,0.0003,0.0066,0.3255,0.0029,0.0195,0.0027,0.0119
2.0,0.3372,0.0003,0.0066,0.3625,0.0037,0.0229,0.0033,0.0256
2.101,0.3947,0.0007,0.0077,0.4009,0.0047,0.0272,0.0039,0.0074
2.2,0.4543,0.0012,0.0087,0.4407,0.0058,0.0283,0.0047,0.0143
2.3,0.4543,0.0012,0.0087,0.4815,0.007,0.0316,0.0056,0.0279
2.4,0.5106,0.0016,0.0077,0.5243,0.0085,0.0349,0.0067,0.0153
2.5,0.5648,0.002,0.0066,0.5667,0.0101,0.0382,0.008,0.0083
2.601,0.6171,0.0024,0.0077,0.6108,0.0118,0.0424,0.0095,0.0114
2.7,0.6692,0.0028,0.0087,0.6615,0.0141,0.0457,0.0114,0.0136
2.8,0.72,0.0033,0.0087,0.704,0.0161,0.049,0.013,0.0205
2.901,0.7703,0.0037,0.0087,0.7502,0.0185,0.0524,0.015,0.025
3.001,0.8232,0.0042,0.0099,0.7977,0.0211,0.0567,0.0172,0.0306
3.101,0.8232,0.0042,0.0099,0.8441,0.0241,0.0654,0.0197,0.0289
3.2,0.8732,0.0047,0.011,0.8943,0.0275,0.0709,0.0226,0.0311
3.3,0.9262,0.0053,0.012,0.9413,0.0311,0.0773,0.0256,0.0298
3.401,0.9771,0.0059,0.0131,0.9906,0.0351,0.086,0.029,0.0322
3.5,1.028,0.0066,0.0131,1.0396,0.0397,0.0948,0.0329,0.035
3.6,1.0823,0.0073,0.0154,1.0906,0.0448,0.1047,0.0373,0.0384
3.7,1.1379,0.0082,0.0154,1.1411,0.0505,0.1168,0.0423,0.0424
3.8,1.1919,0.009,0.0154,1.1807,0.0554,0.1255,0.0465,0.0477
3.901,1.2497,0.01,0.0164,1.2399,0.0634,0.145,0.0536,0.0544
4.001,1.3036,0.0109,0.0175,1.2877,0.0708,0.1592,0.0603,0.0621
4.101,1.3554,0.0118,0.0187,1.3333,0.0787,0.1778,0.0673,0.0705
4.2,1.3554,0.0118,0.0187,1.3777,0.0873,0.1995,0.075,0.0787
4.3,1.4059,0.0127,0.0197,1.4203,0.0965,0.2225,0.0834,0.085
4.4,1.4628,0.0139,0.0208,1.4526,0.1042,0.24,0.0905,0.0909
4.5,1.5133,0.015,0.0229,1.4999,0.1166,0.2693,0.1019,0.1025
4.6,1.5133,0.015,0.0229,1.5368,0.1274,0.2944,0.1118,0.1148
4.7,1.5701,0.0164,0.0251,1.5725,0.1389,0.3229,0.1225,0.1226
4.8,1.6202,0.0177,0.0262,1.6065,0.1509,0.3524,0.1336,0.134
4.9,1.6202,0.0177,0.0262,1.6378,0.1632,0.384,0.145,0.1466
5.0,1.6711,0.019,0.0284,1.6602,0.1727,0.4102,0.1539,0.1541
5.1,1.6711,0.019,0.0284,1.6942,0.1882,0.4461,0.1685,0.1708
5.2,1.7277,0.0208,0.0316,1.7198,0.2011,0.4746,0.1804,0.1805
5.3,1.7277,0.0208,0.0316,1.744,0.214,0.5018,0.1926,0.194
5.4,1.7868,0.0226,0.0316,1.7673,0.2273,0.529,0.2051,0.2055
5.5,1.7868,0.0226,0.0316,1.7828,0.2366,0.5486,0.214,0.214
5.6,1.7868,0.0226,0.0316,1.8052,0.2507,0.576,0.2273,0.2288
5.7,1.8441,0.0245,0.0328,1.8215,0.2616,0.5967,0.2377,0.2382
5.8,1.8441,0.0245,0.0328,1.8377,0.2728,0.6163,0.2484,0.2484
5.9,1.8441,0.0245,0.0328,1.8524,0.2835,0.6348,0.2586,0.2592
6.0,1.9015,0.0264,0.0349,1.8659,0.2937,0.6512,0.2683,0.2696
