time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.001,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.001,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0,0.0,0.001,0.0,0.0
0.4,0.0,0.0,-0.0033,0.0013,0.0,0.001,0.0,0.0013
0.5,0.0,0.0,-0.0033,0.0062,0.0,0.001,0.0,0.0062
0.6,0.0,0.0,-0.0033,0.0118,0.0,0.001,0.0001,0.0118
0.7,0.0,0.0,-0.0033,0.0211,0.0,0.001,0.0001,0.0211
0.8,0.0522,-0.0002,-0.0033,0.028,0.0,0.0021,0.0001,0.0243
0.9,0.0522,-0.0002,-0.0033,0.0492,0.0001,0.0033,0.0003,0.0031
1.0,0.0522,-0.0002,-0.0033,0.0664,0.0002,0.0044,0.0004,0.0142
1.1,0.1145,-0.0003,-0.0021,0.0863,0.0003,0.0054,0.0005,0.0282
1.2,0.1145,-0.0003,-0.0021,0.1082,0.0004,0.0077,0.0007,0.0063
1.3,0.1145,-0.0003,-0.0021,0.1321,0.0006,0.0087,0.001,0.0175
1.4,0.1683,-0.0004,-0.0,0.1483,0.0008,0.0108,0.0012,0.02
1.5,0.1683,-0.0004,-0.0,0.1753,0.0011,0.0131,0.0015,0.0072
1.601,0.2289,-0.0003,0.0033,0.2166,0.0017,0.0164,0.002,0.0124
1.7,0.2289,-0.0003,0.0033,0.2479,0.0023,0.0185,0.0025,0.0192
1.8,0.2847,-0.0,0.0044,0.2674,0.0027,0.0195,0.0028,0.0175
1.901,0.2847,-0.0,0.0044,0.3011,0.0034,0.0229,0.0033,0.0167
2.0,0.3372,0.0003,0.0066,0.3362,0.0043,0.0272,0.004,0.0041
2.1,0.3947,0.0007,0.0077,0.388,0.0058,0.0316,0.0052,0.0085
2.2,0.4543,0.0012,0.0087,0.4271,0.0071,0.0349,0.0062,0.0279
2.3,0.4543,0.0012,0.0087,0.4506,0.008,0.037,0.0068,0.0077
2.4,0.5106,0.0016,0.0077,0.491,0.0095,0.0393,0.008,0.0211
2.5,0.5106,0.0016,0.0077,0.5318,0.0112,0.0426,0.0094,0.0232
2.601,0.6171,0.0024,0.0077,0.5919,0.0139,0.0469,0.0117,0.0278
2.7,0.6171,0.0024,0.0077,0.6221,0.0154,0.0503,0.013,0.0139
2.8,0.6692,0.0028,0.0087,0.6801,0.0185,0.0567,0.0156,0.0191
2.9,0.72,0.0033,0.0087,0.7071,0.0201,0.0611,0.017,0.0212
3.0,0.7703,0.0037,0.0087,0.7709,0.0244,0.0698,0.0207,0.0207
3.1,0.8232,0.0042,0.0099,0.7988,0.0264,0.0742,0.0225,0.033
3.2,0.8732,0.0047,0.011,0.8651,0.0318,0.084,0.0271,0.0282
3.3,0.9262,0.0053,0.012,0.9126,0.036,0.0939,0.0309,0.0336
3.401,0.9262,0.0053,0.012,0.9415,0.0389,0.1004,0.0334,0.0369
3.5,0.9771,0.0059,0.0131,0.9889,0.044,0.1114,0.0379,0.0399
3.6,1.0823,0.0073,0.0154,1.0556,0.0521,0.1299,0.0452,0.0521
3.7,1.0823,0.0073,0.0154,1.1013,0.0585,0.145,0.0509,0.0546
3.8,1.1379,0.0082,0.0154,1.1457,0.0655,0.1614,0.0572,0.0578
3.901,1.1919,0.009,0.0154,1.1893,0.073,0.1778,0.064,0.064
4.0,1.2497,0.01,0.0164,1.2304,0.0807,0.1963,0.071,0.0733
4.1,1.2497,0.01,0.0164,1.2712,0.0893,0.2171,0.079,0.0822
4.2,1.3036,0.0109,0.0175,1.309,0.0982,0.2389,0.0872,0.0875
4.3,1.3554,0.0118,0.0187,1.3458,0.1077,0.2618,0.0961,0.0964
4.401,1.3554,0.0118,0.0187,1.3679,0.1138,0.2749,0.1018,0.1028
