time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0012,0.0,-0.0,0.0,0.0012
0.3,0.0,0.0,-0.0033,0.0027,0.0,0.0,0.0,0.0027
0.4,0.0,0.0,-0.0033,0.0043,0.0,0.0,0.0,0.0043
0.501,0.0,0.0,-0.0033,0.0043,0.0,0.0,0.0,0.0043
0.6,0.0,0.0,-0.0033,0.0043,0.0,0.0,0.0,0.0043
0.7,0.0,0.0,-0.0033,0.0043,0.0,0.0,0.0,0.0043
0.8,0.0,0.0,-0.0033,0.0044,0.0,0.0,0.0,0.0044
0.9,0.0,0.0,-0.0033,0.0066,0.0,0.0,0.0,0.0066
1.0,0.0,0.0,-0.0033,0.0081,0.0,0.0,0.0,0.0081
1.1,0.0,0.0,-0.0033,0.0179,0.0,0.0,0.0001,0.0179
1.2,0.0522,-0.0002,-0.0033,0.0262,0.0,0.0,0.0001,0.0261
1.301,0.0522,-0.0002,-0.0033,0.038,0.0,0.0,0.0001,0.0143
1.4,0.0522,-0.0002,-0.0033,0.0513,0.0,0.0,0.0002,0.0009
1.5,0.0522,-0.0002,-0.0033,0.0641,0.0,0.0,0.0002,0.0119
1.6,0.1145,-0.0003,-0.0021,0.0872,0.0,0.001,0.0003,0.0273
1.7,0.1145,-0.0003,-0.0021,0.104,0.0,0.001,0.0003,0.0105
1.8,0.1145,-0.0003,-0.0021,0.1314,0.0,0.001,0.0004,0.0169
1.9,0.1683,-0.0004,-0.0,0.1559,0.0001,0.0033,0.0005,0.0124
2.0,0.1683,-0.0004,-0.0,0.1825,0.0002,0.0044,0.0006,0.0141
2.1,0.2289,-0.0003,0.0033,0.2103,0.0003,0.0044,0.0007,0.0186
2.2,0.2289,-0.0003,0.0033,0.2402,0.0005,0.0066,0.0007,0.0113
2.3,0.2847,-0.0,0.0044,0.2654,0.0007,0.0077,0.0008,0.0194
2.401,0.2847,-0.0,0.0044,0.3057,0.001,0.0087,0.001,0.021
2.5,0.3372,0.0003,0.0066,0.3325,0.0013,0.0108,0.0011,0.0048
2.6,0.3947,0.0007,0.0077,0.3747,0.0018,0.012,0.0013,0.0201
2.7,0.3947,0.0007,0.0077,0.4122,0.0023,0.0131,0.0015,0.0175
2.8,0.4543,0.0012,0.0087,0.4503,0.0028,0.0141,0.0017,0.0043
2.9,0.5106,0.0016,0.0077,0.4831,0.0033,0.0141,0.0018,0.0275
3.0,0.5106,0.0016,0.0077,0.5311,0.004,0.0154,0.0022,0.0206
3.1,0.5648,0.002,0.0066,0.5725,0.0046,0.0154,0.0026,0.0081
3.2,0.6171,0.0024,0.0077,0.6152,0.0053,0.0164,0.0029,0.0035
3.3,0.6692,0.0028,0.0087,0.6595,0.0061,0.0175,0.0034,0.0103
3.4,0.72,0.0033,0.0087,0.7041,0.0069,0.0195,0.0038,0.0163
3.5,0.7703,0.0037,0.0087,0.7491,0.0078,0.0208,0.0043,0.0217
3.6,0.7703,0.0037,0.0087,0.7945,0.0088,0.0218,0.0049,0.0247
3.701,0.8232,0.0042,0.0099,0.8319,0.0097,0.0241,0.0054,0.0103
3.8,0.8732,0.0047,0.011,0.888,0.0112,0.0283,0.0063,0.0162
3.9,0.9262,0.0053,0.012,0.9264,0.0124,0.0316,0.0071,0.0071
4.0,0.9771,0.0059,0.0131,0.9839,0.0144,0.037,0.0083,0.0109
4.1,1.028,0.0066,0.0131,1.0243,0.016,0.0415,0.0094,0.0101
4.2,1.028,0.0066,0.0131,1.0519,0.0172,0.0436,0.0103,0.0261
4.3,1.1379,0.0082,0.0154,1.132,0.0209,0.0503,0.0128,0.014
4.401,1.1919,0.009,0.0154,1.1786,0.0233,0.0534,0.0145,0.0195
4.5,1.2497,0.01,0.0164,1.2228,0.0257,0.0557,0.0162,0.0312
4.6,1.2497,0.01,0.0164,1.2652,0.0282,0.059,0.018,0.0239
4.7,1.3036,0.0109,0.0175,1.3056,0.0307,0.0632,0.0198,0.0199
4.8,1.4059,0.0127,0.0197,1.3892,0.0364,0.0764,0.024,0.029
4.9,1.4059,0.0127,0.0197,1.4308,0.0398,0.0829,0.0265,0.0368
5.0,1.5133,0.015,0.0229,1.4944,0.0453,0.0927,0.0308,0.0358
5.1,1.5133,0.015,0.0229,1.5369,0.0495,0.1004,0.034,0.0418
5.2,1.6202,0.0177,0.0262,1.6019,0.0566,0.1134,0.0394,0.043
5.3,1.6711,0.019,0.0284,1.6543,0.0629,0.1255,0.0443,0.047
5.4,1.7277,0.0208,0.0316,1.708,0.0701,0.1396,0.05,0.0531
5.5,1.7277,0.0208,0.0316,1.751,0.0766,0.1527,0.055,0.0605
5.6,1.8441,0.0245,0.0328,1.8159,0.0873,0.1712,0.0637,0.0688
5.7,1.8441,0.0245,0.0328,1.8588,0.0951,0.1843,0.0701,0.0721
5.8,1.9015,0.0264,0.0349,1.9229,0.1078,0.204,0.0805,0.0841
5.9,2.0079,0.0302,0.0361,1.9784,0.1197,0.2203,0.0904,0.0941
