time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.201,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0039,0.0,0.0,0.0,0.0039
0.401,0.0,0.0,-0.0033,0.0094,0.0,0.0,0.0,0.0094
0.5,0.0,0.0,-0.0033,0.0172,0.0,0.0,0.0001,0.0172
0.6,0.0522,-0.0002,-0.0033,0.0277,0.0,0.0,0.0001,0.0245
0.7,0.0522,-0.0002,-0.0033,0.0406,0.0,0.0,0.0001,0.0116
0.801,0.0522,-0.0002,-0.0033,0.0522,0.0,0.0,0.0002,0.0002
0.9,0.0522,-0.0002,-0.0033,0.0721,0.0,0.0,0.0002,0.0199
1.001,0.1145,-0.0003,-0.0021,0.0911,0.0,0.0,0.0003,0.0235
1.101,0.1145,-0.0003,-0.0021,0.1111,0.0,0.0,0.0003,0.0035
1.201,0.1145,-0.0003,-0.0021,0.1328,0.0,0.001,0.0004,0.0182
1.3,0.1683,-0.0004,-0.0,0.1556,0.0,0.0021,0.0004,0.0127
1.4,0.1683,-0.0004,-0.0,0.1751,0.0001,0.0033,0.0005,0.0068
1.501,0.2289,-0.0003,0.0033,0.2057,0.0002,0.0044,0.0006,0.0232
1.6,0.2289,-0.0003,0.0033,0.2332,0.0003,0.0044,0.0006,0.0043
1.7,0.2847,-0.0,0.0044,0.2619,0.0005,0.0054,0.0006,0.0228
1.801,0.2847,-0.0,0.0044,0.2921,0.0007,0.0065,0.0007,0.0075
1.9,0.3372,0.0003,0.0066,0.3232,0.0009,0.0075,0.0007,0.014
2.0,0.3372,0.0003,0.0066,0.3574,0.0012,0.0087,0.0008,0.0202
2.1,0.3947,0.0007,0.0077,0.3906,0.0015,0.0108,0.0008,0.0042
2.2,0.3947,0.0007,0.0077,0.4229,0.0019,0.0108,0.0009,0.0282
2.3,0.4543,0.0012,0.0087,0.4588,0.0022,0.0108,0.001,0.0046
2.401,0.5106,0.0016,0.0077,0.4957,0.0027,0.012,0.0011,0.015
2.5,0.5106,0.0016,0.0077,0.532,0.0031,0.012,0.0013,0.0214
2.6,0.5648,0.002,0.0066,0.5618,0.0035,0.012,0.0015,0.0034
2.7,0.6171,0.0024,0.0077,0.6072,0.0041,0.0141,0.0018,0.0101
2.8,0.6692,0.0028,0.0087,0.6463,0.0047,0.0141,0.002,0.023
2.9,0.6692,0.0028,0.0087,0.6856,0.0052,0.0152,0.0023,0.0166
3.0,0.72,0.0033,0.0087,0.7231,0.0058,0.0152,0.0025,0.004
3.1,0.7703,0.0037,0.0087,0.7664,0.0065,0.0162,0.0028,0.0049
3.2,0.8232,0.0042,0.0099,0.8098,0.0072,0.0175,0.0032,0.0137
3.3,0.8232,0.0042,0.0099,0.8479,0.0079,0.0185,0.0035,0.025
3.4,0.8732,0.0047,0.011,0.8896,0.0087,0.0185,0.0038,0.0169
3.5,0.9262,0.0053,0.012,0.9312,0.0095,0.0195,0.0041,0.0065
3.6,0.9771,0.0059,0.0131,0.9731,0.0103,0.0195,0.0044,0.0059
3.7,1.028,0.0066,0.0131,1.0149,0.0112,0.0218,0.0048,0.0138
3.8,1.0823,0.0073,0.0154,1.0584,0.0122,0.0229,0.0052,0.0244
3.9,1.0823,0.0073,0.0154,1.1,0.0131,0.0239,0.0055,0.0187
4.0,1.1379,0.0082,0.0154,1.1173,0.0135,0.0239,0.0057,0.0213
4.1,1.1379,0.0082,0.0154,1.1618,0.0146,0.025,0.0061,0.0247
4.201,1.2497,0.01,0.0164,1.2303,0.0164,0.025,0.0067,0.0204
4.3,1.2497,0.01,0.0164,1.276,0.0175,0.025,0.0071,0.0274
4.4,1.3036,0.0109,0.0175,1.3109,0.0184,0.0262,0.0074,0.0105
4.501,1.3554,0.0118,0.0187,1.3395,0.0192,0.0272,0.0077,0.0175
4.6,1.4059,0.0127,0.0197,1.4133,0.0212,0.0283,0.0083,0.0112
4.701,1.4628,0.0139,0.0208,1.4566,0.0224,0.0283,0.0087,0.0106
4.8,1.5133,0.015,0.0229,1.5035,0.0238,0.0305,0.009,0.0132
4.901,1.5701,0.0164,0.0251,1.5508,0.0253,0.0337,0.0094,0.0213
5.0,1.6202,0.0177,0.0262,1.5978,0.027,0.037,0.0099,0.0243
5.1,1.6202,0.0177,0.0262,1.6432,0.0287,0.0403,0.0105,0.0256
5.201,1.6711,0.019,0.0284,1.6879,0.0307,0.0447,0.0111,0.0204
5.3,1.7277,0.0208,0.0316,1.735,0.0329,0.049,0.0119,0.0142
5.4,1.7868,0.0226,0.0316,1.7819,0.0352,0.0511,0.0127,0.0135
5.5,1.8441,0.0245,0.0328,1.8268,0.0376,0.0534,0.0136,0.0217
5.601,1.8441,0.0245,0.0328,1.8642,0.0396,0.0557,0.0145,0.0251
5.7,1.9015,0.0264,0.0349,1.9209,0.0429,0.0588,0.0158,0.0254
5.8,1.9554,0.0283,0.0361,1.969,0.0458,0.0599,0.0169,0.0221
5.901,2.0079,0.0302,0.0361,2.0153,0.0486,0.0611,0.0181,0.0198
6.001,2.0602,0.0321,0.0372,2.0626,0.0515,0.0588,0.0192,0.0195
6.1,2.1124,0.0342,0.0436,2.1109,0.0542,0.0534,0.02,0.02
