time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,-0.0007,-0.0,0.0939,0.0,0.0,-0.0284,-0.0,0.0007
0.2,-0.0007,-0.0,0.0939,0.0,0.0,-0.0307,-0.0,0.0007
0.3,-0.0007,-0.0,0.0939,0.0075,-0.0003,-0.0469,-0.0011,0.0083
0.4,0.0197,0.0027,0.1288,0.0161,-0.0008,-0.059,-0.003,0.005
0.5,0.0197,0.0027,0.1288,0.0271,-0.0015,-0.0644,-0.0051,0.0085
0.6,0.0413,0.0053,0.1124,0.0419,-0.0024,-0.0579,-0.0077,0.0077
0.7,0.0652,0.008,0.1114,0.059,-0.0034,-0.06,-0.0106,0.0129
0.801,0.0853,0.0103,0.1114,0.0793,-0.0046,-0.059,-0.0141,0.016
0.9,0.1072,0.0127,0.108,0.1022,-0.006,-0.0623,-0.018,0.0193
1.0,0.1289,0.015,0.108,0.1286,-0.0078,-0.0744,-0.0226,0.0228
1.1,0.1531,0.0177,0.1103,0.1568,-0.0099,-0.0764,-0.0278,0.0278
1.2,0.1983,0.0229,0.1134,0.1923,-0.0126,-0.0785,-0.0346,0.0361
1.3,0.2233,0.0258,0.1178,0.2203,-0.0154,-0.1005,-0.0406,0.0413
1.4,0.2478,0.0287,0.1145,0.2549,-0.0192,-0.1157,-0.0484,0.0484
1.5,0.2899,0.0334,0.1145,0.291,-0.0235,-0.1278,-0.0567,0.057
1.6,0.3176,0.0367,0.1201,0.329,-0.0288,-0.1463,-0.0664,0.0665
1.7,0.3465,0.0404,0.1299,0.3694,-0.0349,-0.1529,-0.0776,0.0787
1.8,0.4074,0.0484,0.1353,0.412,-0.0422,-0.1758,-0.0904,0.0907
1.9,0.4392,0.0528,0.1386,0.4526,-0.0501,-0.2063,-0.1038,0.1038
2.0,0.4714,0.0574,0.1452,0.4957,-0.0597,-0.2281,-0.1194,0.1196
2.1,0.5045,0.0624,0.1484,0.5393,-0.0707,-0.2608,-0.1368,0.1376
2.2,0.57,0.0722,0.1517,0.5837,-0.0831,-0.2936,-0.1556,0.1559
2.3,0.6045,0.0773,0.1452,0.6276,-0.0967,-0.3023,-0.1755,0.1755
2.4,0.646,0.0833,0.1407,0.6805,-0.1148,-0.3611,-0.201,0.2011
2.5,0.6962,0.0906,0.1484,0.7198,-0.131,-0.406,-0.2227,0.2229
2.6,0.718,0.094,0.1484,0.7643,-0.1516,-0.444,-0.2497,0.2498
2.7,0.7702,0.102,0.155,0.8085,-0.1742,-0.491,-0.2788,0.2788
2.8,0.7926,0.1055,0.155,0.8438,-0.194,-0.5194,-0.3038,0.3038
2.9,0.8462,0.114,0.1593,0.8958,-0.2254,-0.5662,-0.343,0.343
3.0,0.8692,0.1179,0.1724,0.9389,-0.2545,-0.6109,-0.3789,0.3789
3.1,0.9034,0.1245,0.1997,0.9797,-0.2845,-0.6491,-0.4161,0.4161
3.2,0.9252,0.1297,0.2541,1.0201,-0.3165,-0.6852,-0.4557,0.4562
3.3,0.9252,0.1297,0.2541,1.0618,-0.3528,-0.733,-0.5013,0.5014
3.4,0.9452,0.1355,0.289,1.0978,-0.3872,-0.7789,-0.5445,0.5445
3.5,0.965,0.1414,0.2902,1.1324,-0.4234,-0.8226,-0.5892,0.5892
3.6,1.2384,0.1659,-0.1058,1.1677,-0.4637,-0.8695,-0.6336,0.6336
3.7,1.3529,0.1459,-0.2279,1.1992,-0.5032,-0.9153,-0.6671,0.6671
3.8,1.6207,0.0286,-0.6011,1.2282,-0.543,-0.9578,-0.6933,0.6933
3.9,1.7303,-0.0572,-0.7341,1.2565,-0.5855,-0.9948,-0.7096,0.7096
4.0,1.8183,-0.1445,-0.817,1.2828,-0.6286,-1.0364,-0.7218,0.722
4.1,1.8945,-0.2366,-0.9163,1.3061,-0.6704,-1.0767,-0.7309,0.731
4.2,2.0472,-0.7292,-1.5914,1.3285,-0.7144,-1.1128,-0.7188,0.7188
4.3,2.046,-0.7723,-1.5937,1.3494,-0.7593,-1.1488,-0.6966,0.6967
4.4,2.0454,-0.8169,-1.5739,1.3699,-0.8057,-1.1519,-0.6755,0.6756
4.5,2.0454,-0.8406,-1.5718,1.3913,-0.8526,-1.139,-0.654,0.6541
4.6,2.0457,-0.8919,-1.5621,1.4119,-0.8964,-1.1257,-0.6338,0.6338
4.7,2.0455,-0.9413,-1.5795,1.4342,-0.9415,-1.1062,-0.6112,0.6113
4.801,2.0449,-0.9961,-1.5849,1.4586,-0.9881,-1.0844,-0.5864,0.5864
4.9,2.0442,-1.0508,-1.5849,1.4856,-1.0377,-1.0647,-0.5587,0.5588
5.0,2.044,-1.0764,-1.5795,1.5093,-1.0789,-1.0407,-0.5347,0.5348
5.1,2.0437,-1.1075,-1.5816,1.5362,-1.1226,-1.0081,-0.5073,0.5077
5.2,2.0437,-1.1676,-1.5729,1.5649,-1.1666,-0.9819,-0.4788,0.4788
5.3,2.0434,-1.2127,-1.5773,1.5951,-1.2096,-0.9491,-0.4483,0.4483
5.4,2.0432,-1.2585,-1.5729,1.6268,-1.252,-0.9132,-0.4164,0.4165
5.5,2.0432,-1.2847,-1.5729,1.6531,-1.2845,-0.8826,-0.3901,0.3901
5.6,2.0431,-1.3482,-1.5697,1.6949,-1.3322,-0.8248,-0.3482,0.3486
5.7,2.0431,-1.3782,-1.5729,1.7314,-1.3697,-0.7823,-0.3117,0.3118
5.8,2.0429,-1.406,-1.5827,1.7699,-1.4056,-0.7343,-0.273,0.273
5.9,2.0425,-1.4397,-1.5816,1.8093,-1.4393,-0.6927,-0.2332,0.2332
6.0,2.0423,-1.4685,-1.5785,1.8421,-1.4654,-0.6632,-0.2002,0.2002
6.1,2.0421,-1.5001,-1.5785,1.8917,-1.501,-0.6011,-0.1503,0.1503
6.2,2.042,-1.5272,-1.5697,1.9366,-1.5298,-0.5531,-0.1054,0.1054
6.3,2.042,-1.5531,-1.5697,1.9791,-1.5545,-0.5041,-0.0628,0.0629
6.4,2.0419,-1.5797,-1.5762,2.0218,-1.5766,-0.4484,-0.0201,0.0204
6.5,2.0416,-1.607,-1.5893,2.0684,-1.5974,-0.4047,0.0267,0.0285
6.601,2.0416,-1.607,-1.5893,2.1127,-1.615,-0.3655,0.0713,0.0716
6.7,2.0405,-1.636,-1.6134,2.1586,-1.6308,-0.3142,0.1178,0.1182
6.8,2.0405,-1.636,-1.6134,2.2058,-1.645,-0.2717,0.1655,0.1655
6.9,2.0405,-1.636,-1.6134,2.2528,-1.6566,-0.2238,0.213,0.2133
7.0,2.0405,-1.636,-1.6134,2.2942,-1.6648,-0.1822,0.2547,0.2553
7.1,2.0389,-1.6633,-1.6427,2.3209,-1.6694,-0.1714,0.2818,0.2821
7.2,2.0389,-1.6633,-1.6427,2.3552,-1.6754,-0.1714,0.3164,0.3166
7.3,2.0389,-1.6633,-1.6427,2.377,-1.6791,-0.1648,0.3384,0.3385
7.4,2.0389,-1.6633,-1.6427,2.3882,-1.6809,-0.1593,0.3497,0.3498
7.5,2.0389,-1.6633,-1.6427,2.387,-1.6807,-0.155,0.3485,0.3486
7.6,2.0389,-1.6633,-1.6427,2.383,-1.6801,-0.1506,0.3445,0.3446
7.7,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1484,0.3441,0.3442
7.8,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1484,0.3441,0.3442
7.9,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.156,0.3441,0.3442
8.0,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.156,0.3441,0.3442
8.1,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.156,0.3441,0.3442
8.2,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1452,0.3441,0.3442
8.3,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1452,0.3441,0.3442
8.4,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1452,0.3441,0.3442
8.5,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1452,0.3441,0.3442
8.6,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1604,0.3441,0.3442
8.7,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1539,0.3441,0.3442
8.8,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.156,0.3441,0.3442
8.9,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1539,0.3441,0.3442
9.0,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1539,0.3441,0.3442
9.1,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.155,0.3441,0.3442
9.2,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1529,0.3441,0.3442
9.301,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.156,0.3441,0.3442
9.4,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1517,0.3441,0.3442
9.5,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1463,0.3441,0.3442
9.6,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1463,0.3441,0.3442
9.7,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1473,0.3441,0.3442
9.8,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1517,0.3441,0.3442
9.9,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1539,0.3441,0.3442
10.0,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1506,0.3441,0.3442
10.1,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1529,0.3441,0.3442
10.2,2.0389,-1.6633,-1.6427,2.3826,-1.6801,-0.1517,0.3441,0.3442
10.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1571,0.344,0.3441
10.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1627,0.344,0.3441
10.5,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1539,0.344,0.3441
10.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1593,0.344,0.3441
10.7,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1517,0.344,0.3441
10.8,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1386,0.344,0.344
10.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1211,0.344,0.344
11.0,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1168,0.344,0.344
11.1,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.119,0.344,0.344
11.2,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1234,0.344,0.344
11.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1342,0.344,0.344
11.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1473,0.344,0.344
11.5,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.1703,0.344,0.344
11.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.2356,0.344,0.344
11.701,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.3306,0.344,0.344
11.8,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.4671,0.344,0.344
11.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.6295,0.344,0.344
12.0,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.7877,0.344,0.344
12.1,2.0389,-1.6633,-1.6427,2.3825,-1.68,-0.9383,0.344,0.344
12.2,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.0767,0.344,0.344
12.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.2088,0.344,0.344
12.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.3364,0.344,0.344
12.5,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.4378,0.344,0.344
12.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.5207,0.344,0.344
12.7,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.6057,0.344,0.344
12.8,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.6842,0.344,0.344
12.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.7466,0.344,0.344
13.0,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.7966,0.344,0.344
13.1,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.8588,0.344,0.344
13.2,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.9298,0.344,0.344
13.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.993,0.344,0.344
13.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0705,0.344,0.344
13.501,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.1632,0.344,0.344
13.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.2515,0.344,0.344
13.7,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3061,0.344,0.344
13.8,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3171,0.344,0.344
13.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3061,0.344,0.344
14.0,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3017,0.344,0.344
14.101,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3038,0.344,0.344
14.2,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.3126,0.344,0.344
14.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.2941,0.344,0.344
14.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.2222,0.344,0.344
14.5,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.16,0.344,0.344
14.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0815,0.344,0.344
14.7,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0127,0.344,0.344
14.801,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.945,0.344,0.344
14.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.9232,0.344,0.344
15.001,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.9658,0.344,0.344
15.1,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0148,0.344,0.344
15.2,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.042,0.344,0.344
15.3,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0694,0.344,0.344
15.4,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0815,0.344,0.344
15.5,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0782,0.344,0.344
15.6,2.0389,-1.6633,-1.6427,2.3825,-1.68,-2.0235,0.344,0.344
15.7,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.956,0.344,0.344
15.8,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.8741,0.344,0.344
15.9,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.7879,0.344,0.344
16.0,2.0389,-1.6633,-1.6427,2.3825,-1.68,-1.7137,0.344,0.344
