time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0068,-0.0,0.0
0.305,0.0,0.0,0.0199,-0.0,0.0001
0.406,0.0522,-0.0002,0.0371,-0.0,0.0001
0.505,0.0522,-0.0002,0.0752,-0.0,0.0002
0.606,0.1145,-0.0003,0.1072,0.0,0.0003
0.705,0.1683,-0.0004,0.1632,0.0002,0.0006
0.805,0.2289,-0.0003,0.2177,0.0005,0.0008
0.905,0.2847,-0.0,0.2789,0.0012,0.0012
1.005,0.3372,0.0003,0.3437,0.002,0.0017
1.105,0.3947,0.0007,0.4161,0.0033,0.0025
1.206,0.5106,0.0016,0.4926,0.005,0.0035
1.305,0.5648,0.002,0.5711,0.0072,0.0051
1.406,0.6171,0.0024,0.6406,0.0096,0.007
1.505,0.72,0.0033,0.7435,0.0141,0.0107
1.606,0.8232,0.0042,0.8263,0.0197,0.0155
1.705,0.9262,0.0053,0.9285,0.0292,0.0238
1.806,1.028,0.0066,1.0274,0.0429,0.0363
1.905,1.1379,0.0082,1.1239,0.0617,0.0537
2.006,1.1919,0.009,1.2027,0.0834,0.0742
2.105,1.3036,0.0109,1.3102,0.1262,0.1152
2.205,1.4059,0.0127,1.3903,0.1747,0.1622
2.305,1.4628,0.0139,1.4605,0.2334,0.2195
2.405,1.5133,0.015,1.5189,0.2984,0.2832
2.505,1.5701,0.0164,1.5663,0.3681,0.3517
2.605,1.6202,0.0177,1.6035,0.4427,0.4254
2.705,1.6202,0.0177,1.629,0.5186,0.5006
2.806,1.6711,0.019,1.6418,0.5795,0.5611
2.905,1.6711,0.019,1.6498,0.6643,0.6456
3.006,1.6711,0.019,1.646,0.7447,0.7261
3.105,1.6711,0.019,1.6338,0.8168,0.7985
3.206,1.6202,0.0177,1.6181,0.8728,0.8549
3.305,1.6202,0.0177,1.5867,0.9536,0.9365
3.405,1.5701,0.0164,1.5527,1.0193,1.0031
3.505,1.5701,0.0164,1.5163,1.0797,1.0644
3.606,1.5133,0.015,1.4766,1.1447,1.1303
3.705,1.4628,0.0139,1.441,1.2076,1.1939
3.805,1.4059,0.0127,1.4068,1.2749,1.2618
3.905,1.4059,0.0127,1.3769,1.3425,1.33
4.005,1.3554,0.0118,1.3499,1.4142,1.4022
4.105,1.3554,0.0118,1.3263,1.4866,1.4751
4.205,1.3554,0.0118,1.3041,1.5621,1.551
4.305,1.3036,0.0109,1.2837,1.6382,1.6274
4.406,1.3036,0.0109,1.2675,1.7005,1.6901
4.505,1.3403,3.4222,1.2434,1.7937,1.6312
4.605,1.288,3.4247,1.2233,1.8717,1.5543
4.705,1.288,3.4247,1.2028,1.9517,1.4753
4.805,1.2307,3.4274,1.1829,2.0323,1.3958
4.905,1.2307,3.4274,1.1637,2.1148,1.3143
5.006,1.2307,3.4274,1.1487,2.182,1.2479
5.105,1.1778,3.4298,1.1271,2.2839,1.147
5.206,1.1778,3.4298,1.1133,2.3536,1.078
5.306,1.1208,3.4324,1.0959,2.4442,0.9883
5.406,1.1208,3.4324,1.086,2.4973,0.9357
5.505,1.1208,3.4324,1.0615,2.6347,0.7996
