time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0111,-0.0,0.0
0.305,0.0,0.0,0.019,0.0,0.0001
0.405,0.0522,-0.0002,0.0346,0.0,0.0001
0.505,0.0522,-0.0002,0.0544,0.0,0.0002
0.605,0.0522,-0.0002,0.0774,0.0001,0.0003
0.705,0.1145,-0.0003,0.1163,0.0002,0.0005
0.805,0.1683,-0.0004,0.1586,0.0004,0.0008
0.905,0.2289,-0.0003,0.2074,0.0007,0.0011
1.005,0.2289,-0.0003,0.2519,0.0012,0.0013
1.106,0.3372,0.0003,0.3237,0.002,0.0018
1.205,0.3947,0.0007,0.3764,0.0028,0.0023
1.305,0.4543,0.0012,0.4446,0.004,0.003
1.405,0.5106,0.0016,0.5206,0.0057,0.0039
1.505,0.6171,0.0024,0.6089,0.0076,0.0053
1.605,0.6692,0.0028,0.6912,0.0093,0.0063
1.705,0.7703,0.0037,0.7765,0.011,0.0072
1.805,0.8232,0.0042,0.8471,0.0122,0.0078
1.905,0.9262,0.0053,0.94,0.0138,0.0083
2.005,1.028,0.0066,1.0308,0.0152,0.0085
2.105,1.1379,0.0082,1.1443,0.0167,0.0084
2.205,1.2497,0.01,1.2234,0.0177,0.0082
2.305,1.3554,0.0118,1.3384,0.0189,0.0075
2.405,1.4059,0.0127,1.4171,0.0197,0.0067
2.505,1.5133,0.015,1.5129,0.0207,0.0058
2.606,1.6202,0.0177,1.6271,0.0221,0.0042
2.705,1.7277,0.0208,1.7045,0.023,0.003
2.805,1.7868,0.0226,1.8007,0.0247,0.0016
2.906,1.9015,0.0264,1.9144,0.0274,0.0005
3.005,2.0079,0.0302,1.9955,0.0299,0.0002
3.105,2.1124,0.0342,2.1041,0.0346,0.0007
3.205,2.2162,0.0426,2.1917,0.0408,0.0012
3.305,2.2669,0.0504,2.2923,0.0529,-0.0019
3.405,2.37,0.0745,2.3684,0.0674,-0.0064
3.505,2.4688,0.1079,2.4731,0.0966,-0.0121
3.606,2.5676,0.1515,2.5576,0.1307,-0.0142
3.705,2.6149,0.1762,2.6292,0.1679,-0.0142
3.806,2.7012,0.2292,2.7094,0.2208,-0.0116
3.905,2.7454,0.2604,2.7644,0.2645,-0.0079
4.006,2.8347,0.3332,2.8251,0.3213,-0.0025
4.105,2.8774,0.3734,2.8829,0.384,0.0036
4.205,2.9547,0.4572,2.9334,0.4452,0.0085
4.305,2.9882,0.4991,2.981,0.5088,0.0116
4.405,3.0618,0.6064,3.035,0.5889,0.0134
4.505,3.089,0.6535,3.069,0.6445,0.0132
4.606,3.1163,0.7066,3.1153,0.7283,0.0105
4.706,3.1594,0.8068,3.1462,0.7937,0.0076
4.806,3.1796,0.8644,3.1784,0.8743,0.0042
4.905,3.1953,0.9168,3.1981,0.9339,0.0019
5.005,3.2196,1.0237,3.2185,1.0103,-0.0014
5.105,3.2276,1.0733,3.2345,1.0875,-0.0047
5.205,3.242,1.1786,3.2457,1.1659,-0.0054
5.305,3.2487,1.2307,3.2537,1.2462,-0.0029
5.405,3.2624,1.3384,3.2586,1.3157,0.001
5.505,3.2689,1.3902,3.2634,1.3939,0.0059
5.605,3.2818,1.4989,3.2691,1.4873,0.0113
5.705,3.2878,1.5512,3.2737,1.5543,0.0143
5.805,3.294,1.6077,3.28,1.6327,0.0167
5.905,3.3066,1.7275,3.2874,1.7104,0.0174
6.006,3.3121,1.7819,3.2964,1.7934,0.0167
6.105,3.3233,1.9,3.3063,1.8735,0.0144
6.205,3.3283,1.9552,3.3153,1.9428,0.0118
6.305,3.3337,2.0161,3.3274,2.0372,0.0082
6.406,3.3424,2.1203,3.3376,2.1366,0.0058
6.505,3.3438,2.2265,3.342,2.2069,0.0025
6.606,3.3402,2.2806,3.3422,2.3029,-0.0041
6.705,3.3251,2.3854,3.3369,2.3696,-0.0088
6.805,3.3139,2.435,3.3233,2.4486,-0.0125
6.905,3.2833,2.5356,3.3021,2.5262,-0.0147
7.005,3.2599,2.5953,3.2736,2.6003,-0.0146
7.105,3.239,2.6412,3.2471,2.6555,-0.0134
7.205,3.1872,2.7366,3.2002,2.735,-0.0104
7.306,3.1594,2.7801,3.1541,2.7983,-0.0058
7.406,3.0953,2.8661,3.0972,2.8651,-0.0009
7.505,3.0581,2.909,3.053,2.9106,0.0028
7.605,2.9852,2.9818,2.9878,2.9707,0.0064
7.705,2.9441,3.0174,2.9404,3.0103,0.0078
7.805,2.8951,3.056,2.8802,3.0565,0.0086
7.905,2.7925,3.1256,2.8038,3.1096,0.0076
8.005,2.7476,3.1519,2.7508,3.1427,0.0064
8.105,2.6981,3.1782,2.6825,3.1816,0.0041
8.205,2.5938,3.2268,2.613,3.2164,0.0019
8.305,2.5392,3.2493,2.5402,3.248,0.0009
8.405,2.4887,3.2686,2.4657,3.2757,0.0013
8.505,2.3916,3.3015,2.3886,3.3,0.0023
8.605,2.339,3.3171,2.3173,3.3188,0.0043
8.705,2.2306,3.3445,2.2334,3.3372,0.0065
8.805,2.1813,3.355,2.1544,3.3514,0.0089
8.905,2.078,3.3733,2.0869,3.3614,0.0104
9.005,2.0272,3.3803,2.0077,3.3712,0.0115
9.105,1.9168,3.3917,1.9286,3.3797,0.011
9.205,1.8657,3.395,1.8527,3.3863,0.0095
