time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,-0.0,0.0,-0.0
0.205,0.0,0.0,0.0091,-0.0,-0.0
0.305,0.0,0.0,0.0151,-0.0,0.0
0.405,0.0522,-0.0002,0.0315,-0.0001,0.0
0.505,0.0522,-0.0002,0.055,-0.0001,0.0001
0.605,0.1145,-0.0003,0.0862,-0.0001,0.0002
0.706,0.1145,-0.0003,0.1315,0.0,0.0004
0.805,0.1683,-0.0004,0.1667,0.0002,0.0006
0.905,0.2289,-0.0003,0.2153,0.0006,0.001
1.005,0.2847,-0.0,0.2683,0.0013,0.0014
1.105,0.3372,0.0003,0.3281,0.0023,0.002
1.205,0.3947,0.0007,0.3898,0.0035,0.0029
1.305,0.4543,0.0012,0.4569,0.0051,0.004
1.405,0.5106,0.0016,0.5279,0.0072,0.0055
1.505,0.6171,0.0024,0.6167,0.0105,0.0081
1.605,0.6692,0.0028,0.6798,0.0133,0.0104
1.705,0.7703,0.0037,0.7625,0.0176,0.014
1.805,0.8232,0.0042,0.845,0.0227,0.0183
1.905,0.9262,0.0053,0.9282,0.0288,0.0235
2.005,1.028,0.0066,1.0145,0.0363,0.0299
2.105,1.0823,0.0073,1.1042,0.0453,0.0376
2.205,1.1919,0.009,1.1996,0.0569,0.0478
2.305,1.3036,0.0109,1.2884,0.0701,0.0595
2.405,1.4059,0.0127,1.3828,0.087,0.0747
2.505,1.4628,0.0139,1.4753,0.107,0.0928
2.605,1.5701,0.0164,1.5654,0.1307,0.1144
2.705,1.6711,0.019,1.6713,0.1652,0.1461
2.805,1.7277,0.0208,1.7415,0.1931,0.1718
2.905,1.8441,0.0245,1.8213,0.2309,0.2071
3.005,1.9015,0.0264,1.8955,0.2738,0.2474
3.105,2.0079,0.0302,1.9779,0.3332,0.3038
3.205,2.0602,0.0321,2.0282,0.3778,0.3466
3.305,2.1124,0.0342,2.0919,0.4479,0.4141
3.405,2.1641,0.0372,2.128,0.4983,0.4624
3.505,2.2669,0.0504,2.166,0.5646,0.5239
3.605,2.3212,0.0617,2.194,0.6306,0.583
3.705,2.4193,0.09,2.2148,0.7009,0.6442
3.805,2.5155,0.1272,2.2273,0.7727,0.7068
3.905,2.5676,0.1515,2.2321,0.8464,0.7717
4.005,2.7012,0.2292,2.2282,0.9201,0.8373
4.105,2.7927,0.2972,2.213,1.0099,0.9187
4.205,2.9209,0.4187,2.1928,1.0856,0.9874
4.305,3.0257,0.5508,2.1714,1.1455,1.0409
4.405,3.2196,1.0237,2.1383,1.2195,1.0989
4.505,3.2349,1.1253,2.0973,1.2914,1.1496
4.605,3.242,1.1786,2.0489,1.3572,1.2062
4.705,3.2487,1.2307,1.991,1.4175,1.2713
4.805,3.2557,1.2848,1.9272,1.469,1.3411
4.905,3.2624,1.3384,1.8531,1.5147,1.4203
5.005,3.2689,1.3902,1.779,1.5498,1.4982
5.105,1.7277,0.0208,1.7033,1.5775,1.5567
5.205,1.6711,0.019,1.6202,1.601,1.5828
5.306,1.5701,0.0164,1.5199,1.6228,1.6072
5.405,1.4628,0.0139,1.4491,1.6349,1.621
5.505,1.4059,0.0127,1.3574,1.6483,1.6362
5.605,1.3036,0.0109,1.275,1.6565,1.6459
5.705,1.1919,0.009,1.19,1.6555,1.6463
5.805,1.1379,0.0082,1.1089,1.6431,1.6352
5.905,1.0823,0.0073,1.0329,1.6212,1.6144
6.005,0.9771,0.0059,0.9642,1.5916,1.5857
6.105,0.9262,0.0053,0.8985,1.5535,1.5484
6.205,0.8732,0.0047,0.8384,1.5081,1.5037
6.305,0.8232,0.0042,0.7846,1.4565,1.4526
6.405,0.72,0.0033,0.7274,1.3856,1.3822
6.505,0.72,0.0033,0.6947,1.3336,1.3305
6.605,0.6692,0.0028,0.6605,1.2647,1.2619
6.705,0.6171,0.0024,0.6328,1.1923,1.1898
6.805,0.6171,0.0024,0.6071,1.1018,1.0995
6.905,0.6171,0.0024,0.5938,1.0393,1.0371
7.005,0.5648,0.002,0.5804,0.9581,0.956
7.105,0.5648,0.002,0.5707,0.8755,0.8734
7.205,0.5648,0.002,0.5628,0.7732,0.7711
7.305,0.5648,0.002,0.5584,0.6864,0.6844
7.405,0.5648,0.002,0.5561,0.6159,0.6139
7.505,0.5648,0.002,0.5545,0.5241,0.5222
7.605,0.5648,0.002,0.5539,0.4363,0.4344
7.705,0.5648,0.002,0.554,0.343,0.341
7.805,0.5648,0.002,0.5562,0.2547,0.2527
7.905,0.5648,0.002,0.5641,0.1455,0.1435
8.005,0.5648,0.002,0.5745,0.0577,0.0556
8.105,0.5648,0.002,0.5851,-0.0125,-0.0147
8.205,0.6171,0.0024,0.5998,-0.0988,-0.101
8.305,0.6171,0.0024,0.6153,-0.183,-0.1853
8.405,0.6171,0.0024,0.62,-0.2089,-0.2113
8.505,0.6171,0.0024,0.6185,-0.2,-0.2024
8.605,0.6171,0.0024,0.6159,-0.1851,-0.1874
8.705,0.6171,0.0024,0.6126,-0.1663,-0.1686
8.805,0.6171,0.0024,0.6117,-0.1607,-0.163
8.905,0.6171,0.0024,0.6117,-0.1611,-0.1634
9.005,0.6171,0.0024,0.6117,-0.1611,-0.1634
9.105,0.6171,0.0024,0.6116,-0.1606,-0.1629
9.205,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.305,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.405,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.505,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.605,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.705,0.6171,0.0024,0.6116,-0.1605,-0.1629
9.805,0.6171,0.0024,0.6116,-0.1605,-0.1628
9.905,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.005,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.105,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.205,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.305,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.405,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.505,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.605,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.705,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.805,0.6171,0.0024,0.6116,-0.1602,-0.1625
10.905,0.6171,0.0024,0.6116,-0.1602,-0.1625
11.005,0.6171,0.0024,0.6116,-0.1602,-0.1625
11.105,0.6171,0.0024,0.6116,-0.1602,-0.1625
