time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.306,0.0,0.0,0.0054,-0.0,0.0
0.405,0.0,0.0,0.0255,-0.0,0.0001
0.505,0.0522,-0.0002,0.0553,-0.0,0.0002
0.605,0.1145,-0.0003,0.09,0.0,0.0003
0.705,0.1145,-0.0003,0.1319,0.0001,0.0005
0.805,0.1683,-0.0004,0.1799,0.0003,0.0007
0.905,0.2289,-0.0003,0.2336,0.0007,0.0009
1.005,0.2847,-0.0,0.2925,0.0014,0.0014
1.105,0.3372,0.0003,0.3556,0.0024,0.002
1.205,0.3947,0.0007,0.4229,0.0038,0.0029
1.305,0.5106,0.0016,0.4932,0.0056,0.0041
1.405,0.5648,0.002,0.569,0.0081,0.006
1.505,0.6692,0.0028,0.6481,0.0117,0.009
1.605,0.72,0.0033,0.7291,0.0169,0.0136
1.705,0.8232,0.0042,0.8126,0.0246,0.0205
1.805,0.8732,0.0047,0.8826,0.0336,0.0287
1.905,0.9771,0.0059,0.9844,0.0527,0.0467
2.005,1.0823,0.0073,1.0692,0.0778,0.0706
2.105,1.1379,0.0082,1.1517,0.1138,0.1053
2.205,1.2497,0.01,1.2274,0.1603,0.1507
2.305,1.3036,0.0109,1.2941,0.2158,0.2051
2.405,1.3554,0.0118,1.3532,0.2811,0.2693
2.505,1.4059,0.0127,1.4018,0.3524,0.3397
2.605,1.4628,0.0139,1.4401,0.4291,0.4156
2.705,1.4628,0.0139,1.4674,0.5084,0.4943
2.805,1.5133,0.015,1.4839,0.5895,0.575
2.905,1.5133,0.015,1.4891,0.6522,0.6376
3.005,1.5133,0.015,1.4859,0.7538,0.7392
3.105,1.5133,0.015,1.4738,0.8335,0.8192
3.206,1.4628,0.0139,1.457,0.9173,0.9033
3.305,1.4628,0.0139,1.4413,1.0015,0.9879
3.405,1.4628,0.0139,1.4307,1.0866,1.0731
3.505,1.4628,0.0139,1.4266,1.1843,1.1709
3.605,1.4628,0.0139,1.4277,1.2574,1.244
3.705,1.4628,0.0139,1.431,1.3437,1.3302
3.805,1.4628,0.0139,1.4337,1.4293,1.4157
3.905,1.4628,0.0139,1.4337,1.515,1.5014
4.005,1.4628,0.0139,1.4319,1.5828,1.5692
4.105,1.4628,0.0139,1.4268,1.6848,1.6713
4.205,1.4952,3.4147,1.4213,1.7683,1.6481
4.305,1.4952,3.4147,1.4158,1.8529,1.5638
4.406,1.4952,3.4147,1.4108,1.9313,1.4857
4.505,1.4952,3.4147,1.4021,2.012,1.4056
4.605,1.4418,3.4173,1.3889,2.0911,1.3272
4.705,1.4418,3.4173,1.3697,2.1703,1.249
4.805,1.3903,3.4198,1.3447,2.2434,1.1772
4.906,1.3403,3.4222,1.3115,2.3141,1.1082
5.005,1.3403,3.4222,1.2715,2.3779,1.0464
5.105,1.288,3.4247,1.2228,2.4384,0.9883
5.205,1.2307,3.4274,1.1649,2.4943,0.9351
5.305,1.1208,3.4324,1.1026,2.5413,0.891
5.405,1.0692,3.4347,1.0363,2.5799,0.8555
5.505,1.0155,3.437,0.9646,2.6103,0.8281
5.605,0.9088,3.4415,0.8913,2.6317,0.8098
5.705,0.8569,3.4435,0.8129,2.6446,0.8
5.805,0.7475,3.4478,0.7337,2.6494,0.7983
5.905,0.6858,3.4501,0.6637,2.6443,0.8061
6.005,0.6344,3.4519,0.588,2.6295,0.8235
6.105,0.5221,3.4556,0.5144,2.6057,0.8498
6.205,0.4715,3.4571,0.4474,2.5749,0.8826
6.305,0.3059,3.4513,0.3845,2.5364,0.9183
6.405,0.1383,3.4273,0.3246,2.4888,0.9567
6.505,0.0872,3.4175,0.2713,2.4349,0.9997
6.605,0.0378,3.4077,0.2251,2.3754,1.049
6.705,-0.0153,3.3971,0.1853,2.3094,1.106
6.805,-0.0153,3.3971,0.1539,2.24,1.1682
6.905,-0.0153,3.3971,0.1311,2.1682,1.2345
7.005,-0.0153,3.3971,0.1173,2.0938,1.3049
7.105,-0.0153,3.3971,0.1124,2.0185,1.3779
7.205,-0.0153,3.3971,0.1163,1.9427,1.4531
7.305,-0.0153,3.3971,0.1273,1.8689,1.5276
7.405,-0.0153,3.3971,0.1424,1.7926,1.6054
7.505,-0.0153,3.3971,0.158,1.7137,1.6859
7.605,0.1683,-0.0004,0.1719,1.6327,1.6331
7.705,0.1683,-0.0004,0.1832,1.5497,1.5501
7.805,0.1683,-0.0004,0.1923,1.4639,1.4643
7.905,0.2289,-0.0003,0.2002,1.3757,1.3761
