time_s,ref_x,ref_y,real_x,real_y,cte_m
0.104,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0086,0.0,0.0
0.305,0.0,0.0,0.0216,0.0,0.0001
0.405,0.0522,-0.0002,0.0455,0.0,0.0002
0.505,0.0522,-0.0002,0.077,0.0001,0.0004
0.605,0.1145,-0.0003,0.1178,0.0002,0.0006
0.705,0.1683,-0.0004,0.1565,0.0003,0.0007
0.805,0.2289,-0.0003,0.2074,0.0006,0.0009
0.905,0.2847,-0.0,0.2774,0.0012,0.0013
1.004,0.3372,0.0003,0.3426,0.002,0.0017
1.105,0.3947,0.0007,0.4137,0.0031,0.0022
1.205,0.5106,0.0016,0.4862,0.0045,0.003
1.305,0.5648,0.002,0.5655,0.0066,0.0046
1.405,0.6692,0.0028,0.6477,0.0094,0.0068
1.504,0.72,0.0033,0.7375,0.0135,0.0101
1.604,0.8232,0.0042,0.8292,0.0194,0.0151
1.705,0.9262,0.0053,0.9165,0.0271,0.0219
1.805,1.028,0.0066,1.0149,0.0395,0.0331
1.905,1.0823,0.0073,1.0876,0.0519,0.0445
2.004,1.1919,0.009,1.2055,0.0816,0.0723
2.104,1.3036,0.0109,1.2906,0.1144,0.1037
2.204,1.3554,0.0118,1.3728,0.1597,0.1476
2.304,1.4628,0.0139,1.4441,0.2144,0.2009
2.405,1.5133,0.015,1.4932,0.2635,0.2489
2.505,1.5701,0.0164,1.5364,0.3145,0.2989
2.605,1.6202,0.0177,1.595,0.4107,0.3935
2.705,1.6202,0.0177,1.6248,0.4856,0.4677
2.804,1.6711,0.019,1.6447,0.5624,0.5439
2.904,1.6711,0.019,1.6537,0.6322,0.6134
3.004,1.6711,0.019,1.6544,0.7055,0.6866
3.105,1.6711,0.019,1.647,0.7759,0.7572
3.204,1.6711,0.019,1.6316,0.8453,0.827
3.305,1.6202,0.0177,1.6093,0.911,0.8933
3.404,1.6202,0.0177,1.5801,0.9746,0.9576
3.505,1.5701,0.0164,1.5484,1.0324,1.0163
3.604,1.5133,0.015,1.5129,1.0934,1.0782
3.704,1.5133,0.015,1.4793,1.1533,1.1388
3.805,1.4628,0.0139,1.4466,1.217,1.2032
3.905,1.4628,0.0139,1.4166,1.2828,1.2696
4.005,1.4059,0.0127,1.3882,1.3518,1.3392
4.105,1.4059,0.0127,1.3631,1.4201,1.408
4.205,1.3554,0.0118,1.3489,1.4619,1.45
4.304,1.3554,0.0118,1.3157,1.5651,1.5538
4.404,1.3036,0.0109,1.294,1.6374,1.6265
4.505,1.3036,0.0109,1.2725,1.712,1.7015
4.604,1.3403,3.4222,1.2501,1.7928,1.6318
4.705,1.288,3.4247,1.2332,1.8565,1.569
4.804,1.288,3.4247,1.2114,1.9428,1.4838
4.905,1.2307,3.4274,1.1925,2.0225,1.4052
5.005,1.2307,3.4274,1.1746,2.1025,1.3261
5.105,1.2307,3.4274,1.1573,2.1856,1.2439
5.205,1.1778,3.4298,1.1401,2.2708,1.1595
5.305,1.1778,3.4298,1.1239,2.3538,1.0774
5.405,1.1778,3.4298,1.1075,2.4402,0.9918
5.505,1.1208,3.4324,1.0912,2.5258,0.907
5.604,1.1208,3.4324,1.0748,2.6139,0.8197
5.704,1.0692,3.4347,1.0589,2.7006,0.7339
5.805,1.0692,3.4347,1.0465,2.7701,0.6649
5.904,1.0692,3.4347,1.0281,2.8761,0.5598
6.004,1.0155,3.437,1.0137,2.9632,0.4734
6.105,1.0155,3.437,0.9993,3.0528,0.3846
6.204,1.0155,3.437,0.9859,3.1394,0.2986
6.304,0.9647,3.4391,0.9725,3.2285,0.2101
6.404,0.9647,3.4391,0.9597,3.3163,0.123
