time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.204,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0,0.0,0.0
0.405,0.0,0.0,0.0,0.0,0.0
0.505,0.0,0.0,0.0,0.0,0.0
0.604,0.0,0.0,0.0,0.0,0.0
0.705,0.0,0.0,0.0,0.0,0.0
0.805,0.0,0.0,0.0,0.0,0.0
0.904,0.0,0.0,0.0,0.0,0.0
1.006,0.0,0.0,0.0,0.0,0.0
1.104,0.0,0.0,0.0,0.0,0.0
1.204,0.0,0.0,0.0,0.0,0.0
1.304,0.0,0.0,0.0,0.0,0.0
1.404,0.0,0.0,0.0,0.0,0.0
1.505,0.0,0.0,0.0,0.0,0.0
1.605,0.0,0.0,0.0,0.0,0.0
1.705,0.0,0.0,0.0,0.0,0.0
1.805,0.0,0.0,0.0,0.0,0.0
1.904,0.0,0.0,0.0,0.0,0.0
2.004,0.0,0.0,0.0,0.0,0.0
2.104,0.0,0.0,0.0,0.0,0.0
2.204,0.0,0.0,0.0,0.0,0.0
2.305,0.0,0.0,0.0,0.0,0.0
2.405,0.0,0.0,0.0,0.0,0.0
2.504,0.0,0.0,0.0,0.0,0.0
2.604,0.0,0.0,0.0,0.0,0.0
2.704,1.0823,0.0073,1.0759,-0.0072,-0.0144
2.804,1.1919,0.009,1.1736,-0.0071,-0.0159
2.905,1.2497,0.01,1.2702,-0.0069,-0.0172
3.004,1.3554,0.0118,1.3676,-0.005,-0.017
3.104,1.4628,0.0139,1.4632,-0.0008,-0.0147
3.204,1.5701,0.0164,1.5622,0.0063,-0.0099
3.304,1.6711,0.019,1.6582,0.0151,-0.0036
3.405,1.7277,0.0208,1.7512,0.0244,0.0029
3.504,1.8441,0.0245,1.8469,0.0337,0.0091
3.605,1.9554,0.0283,1.9459,0.0419,0.0139
3.704,2.0602,0.0321,2.0419,0.048,0.0165
3.805,2.1641,0.0372,2.1387,0.0528,0.0174
3.904,2.2162,0.0426,2.2332,0.0583,0.0134
4.004,2.3212,0.0617,2.3253,0.0674,0.0046
4.104,2.4193,0.09,2.4185,0.0838,-0.0057
4.204,2.5155,0.1272,2.5132,0.1102,-0.0147
4.305,2.5676,0.1515,2.5972,0.1443,-0.0195
4.404,2.6582,0.2015,2.6755,0.1872,-0.0212
4.507,2.7454,0.2604,2.7482,0.238,-0.0197
4.604,2.7927,0.2972,2.8152,0.297,-0.0143
4.704,2.8774,0.3734,2.8697,0.3545,-0.0082
4.804,2.9209,0.4187,2.9217,0.4177,-0.0012
4.904,2.9882,0.4991,2.973,0.4878,0.0051
5.005,3.0257,0.5508,3.0198,0.559,0.0095
5.105,3.0618,0.6064,3.0592,0.6245,0.0118
5.204,3.1163,0.7066,3.099,0.6976,0.0116
5.304,3.1379,0.7536,3.1341,0.7699,0.01
5.405,3.1796,0.8644,3.1671,0.8484,0.0069
5.505,3.1953,0.9168,3.1927,0.9198,0.0034
5.605,3.2196,1.0237,3.2155,0.9977,-0.0006
5.705,3.2276,1.0733,3.2333,1.0753,-0.0053
5.805,3.2349,1.1253,3.2445,1.1393,-0.0077
5.904,3.2487,1.2307,3.2573,1.2341,-0.008
6.004,3.2624,1.3384,3.264,1.315,-0.0045
6.104,3.2689,1.3902,3.269,1.3954,0.0005
6.204,3.2818,1.4989,3.2735,1.4767,0.0057
6.304,3.2878,1.5512,3.2784,1.5593,0.0102
6.404,3.3,1.6635,3.2845,1.6461,0.0136
6.504,3.3066,1.7275,3.2912,1.7288,0.0154
6.604,3.3179,1.8429,3.2994,1.817,0.016
6.704,3.3233,1.9,3.3082,1.9021,0.0152
6.804,3.3337,2.0161,3.3179,1.9901,0.0135
6.904,3.3382,2.0665,3.3268,2.0749,0.012
7.004,3.3444,2.1716,3.3342,2.1616,0.01
7.104,3.3438,2.2265,3.3375,2.2506,0.0054
7.204,3.3337,2.3333,3.3344,2.3417,-0.0018
7.304,3.3139,2.435,3.3236,2.4266,-0.0073
7.404,3.2833,2.5356,3.3031,2.5179,-0.0129
7.504,3.2599,2.5953,3.2777,2.5929,-0.0155
7.604,3.239,2.6412,3.2415,2.6719,-0.0153
7.704,3.1872,2.7366,3.1993,2.7437,-0.0141
7.804,3.1271,2.8254,3.1502,2.8118,-0.0104
7.904,3.0953,2.8661,3.099,2.8718,-0.0065
8.004,3.0233,2.9454,3.0412,2.9298,-0.0017
8.104,2.9852,2.9818,2.9814,2.9823,0.0021
8.204,2.9441,3.0174,2.9175,3.032,0.0059
8.306,2.8489,3.089,2.8526,3.077,0.0078
8.405,2.7925,3.1256,2.7843,3.1198,0.0093
8.504,2.6981,3.1782,2.7139,3.1594,0.0095
8.604,2.645,3.2039,2.6416,3.1959,0.0087
8.705,2.5938,3.2268,2.5644,3.2305,0.0082
8.804,2.4887,3.2686,2.4875,3.261,0.0076
8.905,2.4415,3.2852,2.4149,3.2862,0.0077
9.004,2.339,3.3171,2.3394,3.3091,0.0076
9.104,2.2834,3.332,2.2613,3.3294,0.008
9.208,2.1813,3.355,2.181,3.3469,0.008
9.304,2.078,3.3733,2.1024,3.3611,0.0083
9.405,2.0272,3.3803,2.0206,3.3732,0.0079
9.504,1.9709,3.3868,1.9436,3.3831,0.0065
9.604,1.8657,3.395,1.8785,3.389,0.0053
9.705,1.7615,3.4008,1.7796,3.3957,0.004
9.804,1.7097,3.4036,1.6998,3.3996,0.0045
9.905,1.6032,3.4093,1.6186,3.4027,0.0058
10.005,1.5467,3.4121,1.5369,3.4054,0.0072
10.105,1.4418,3.4173,1.4547,3.4079,0.0087
10.204,1.3903,3.4198,1.3733,3.4106,0.01
10.304,1.288,3.4247,1.289,3.4139,0.0107
10.404,1.1778,3.4298,1.2019,3.4179,0.0108
10.504,1.1208,3.4324,1.1252,3.4218,0.0104
10.604,1.0692,3.4347,1.0428,3.4266,0.0092
10.704,0.9647,3.4391,0.9606,3.4318,0.0075
10.805,0.8569,3.4435,0.877,3.437,0.0057
10.904,0.8022,3.4457,0.7959,3.4419,0.004
