time_s,ref_x,ref_y,real_x,real_y,cte_m
0.106,0.0,0.0,0.0,0.0,0.0
0.206,0.0,0.0,0.0,0.0,0.0
0.306,0.0,0.0,0.0,0.0,0.0
0.406,0.0,0.0,0.0,0.0,0.0
0.506,0.0,0.0,0.0,0.0,0.0
0.606,0.0,0.0,0.0,0.0,0.0
0.706,0.0,0.0,0.0,0.0,0.0
0.806,0.0,0.0,0.0,0.0,0.0
0.906,0.0,0.0,0.0,0.0,0.0
1.006,0.0,0.0,0.0,0.0,0.0
1.106,0.0,0.0,0.0,0.0,0.0
1.207,0.0,0.0,0.0,0.0,0.0
1.306,0.0,0.0,0.0,0.0,0.0
1.407,0.0,0.0,0.0,0.0,0.0
1.506,0.0,0.0,0.0,0.0,0.0
1.606,0.0,0.0,0.0,0.0,0.0
1.706,0.0,0.0,0.0,0.0,0.0
1.809,0.0,0.0,0.0,0.0,0.0
1.906,0.0,0.0,0.0,0.0,0.0
2.006,0.0,0.0,0.0,0.0,0.0
2.106,0.0,0.0,0.0,0.0,0.0
2.21,0.0,0.0,0.0,0.0,0.0
2.306,0.0,0.0,0.0,0.0,0.0
2.406,0.0,0.0,0.0,0.0,0.0
2.509,0.0,0.0,0.0,0.0,0.0
2.606,0.1145,-0.0003,0.1151,0.0,0.0004
2.706,0.1683,-0.0004,0.1845,0.0002,0.0006
2.807,0.2289,-0.0003,0.2408,0.0005,0.0007
2.906,0.2847,-0.0,0.3048,0.0009,0.0009
3.008,0.3947,0.0007,0.3746,0.0015,0.0009
3.106,0.4543,0.0012,0.4485,0.0023,0.0011
3.207,0.5106,0.0016,0.5261,0.0032,0.0015
3.306,0.6171,0.0024,0.6077,0.0044,0.0021
3.406,0.72,0.0033,0.6973,0.006,0.0029
3.506,0.7703,0.0037,0.7803,0.0076,0.0038
3.606,0.8732,0.0047,0.8711,0.0095,0.0048
3.706,0.9771,0.0059,0.9678,0.0113,0.0055
3.806,1.028,0.0066,1.0256,0.0124,0.0058
3.906,1.1379,0.0082,1.1616,0.0149,0.0064
4.006,1.2497,0.01,1.2598,0.0166,0.0065
4.106,1.3554,0.0118,1.3602,0.018,0.0061
4.206,1.4628,0.0139,1.4571,0.0193,0.0055
4.306,1.5701,0.0164,1.5561,0.0207,0.0047
4.406,1.6711,0.019,1.6586,0.0223,0.0036
4.506,1.7277,0.0208,1.715,0.0233,0.0029
4.606,1.8441,0.0245,1.8523,0.0265,0.0018
4.706,1.9554,0.0283,1.9494,0.0296,0.0015
4.806,2.0602,0.0321,2.0474,0.0339,0.0022
4.906,2.1641,0.0372,2.145,0.0401,0.0043
5.006,2.2669,0.0504,2.2429,0.0502,0.0038
5.108,2.3212,0.0617,2.3407,0.0648,-0.0014
5.206,2.4193,0.09,2.433,0.0878,-0.0065
5.306,2.5155,0.1272,2.5262,0.12,-0.0108
5.406,2.6149,0.1762,2.6101,0.1581,-0.0136
5.506,2.7012,0.2292,2.6922,0.2065,-0.0138
5.606,2.7454,0.2604,2.7634,0.2592,-0.0117
5.708,2.8347,0.3332,2.834,0.3233,-0.0069
5.806,2.8774,0.3734,2.867,0.3575,-0.0041
5.906,2.9547,0.4572,2.9506,0.458,0.0036
6.008,2.9882,0.4991,2.9972,0.5235,0.0077
6.108,3.0257,0.5508,3.0146,0.55,0.0086
6.209,3.089,0.6535,3.0843,0.6668,0.0106
6.31,3.1379,0.7536,3.1231,0.7436,0.0095
6.406,3.1594,0.8068,3.1579,0.8233,0.0073
6.506,3.1953,0.9168,3.1862,0.9006,0.0044
6.608,3.2083,0.9681,3.2086,0.9758,0.0014
6.706,3.2276,1.0733,3.2297,1.065,-0.0033
6.806,3.2349,1.1253,3.2416,1.1345,-0.0054
6.906,3.2487,1.2307,3.2516,1.2154,-0.0048
7.007,3.2557,1.2848,3.2589,1.296,-0.0017
7.107,3.2689,1.3902,3.2649,1.3789,0.0025
7.206,3.2752,1.4426,3.2709,1.4626,0.0066
7.306,3.2818,1.4989,3.2747,1.5126,0.0087
7.406,3.294,1.6077,3.2838,1.6233,0.0119
7.506,3.3066,1.7275,3.2917,1.7067,0.0127
7.606,3.3121,1.7819,3.3006,1.792,0.0124
7.709,3.3233,1.9,3.3101,1.8767,0.0109
7.809,3.3283,1.9552,3.3201,1.9612,0.0087
7.906,3.3382,2.0665,3.3295,2.0483,0.0071
8.006,3.3424,2.1203,3.3367,2.1343,0.0066
8.106,3.3438,2.2265,3.34,2.2211,0.004
8.206,3.3337,2.3333,3.3369,2.3108,0.0002
8.306,3.3251,2.3854,3.3259,2.4005,-0.0035
8.406,3.3002,2.4843,3.3088,2.4784,-0.0066
8.506,3.2833,2.5356,3.2825,2.5616,-0.0078
8.606,3.239,2.6412,3.2504,2.6368,-0.0084
8.706,3.214,2.6901,3.2229,2.6899,-0.0077
8.806,3.1594,2.7801,3.1691,2.7775,-0.0067
8.906,3.1271,2.8254,3.1194,2.841,-0.0032
9.006,3.0581,2.909,3.0646,2.9011,0.0005
9.107,3.0233,2.9454,3.0037,2.9593,0.0042
9.206,2.9441,3.0174,2.9445,3.0094,0.0059
9.306,2.8951,3.056,2.8784,3.0593,0.0074
9.406,2.7925,3.1256,2.8136,3.1037,0.0075
9.506,2.7476,3.1519,2.743,3.147,0.0065
9.606,2.6981,3.1782,2.6712,3.1864,0.0049
9.706,2.5938,3.2268,2.5963,3.2227,0.0027
9.806,2.5392,3.2493,2.5177,3.2553,0.0025
