time_s,ref_x,ref_y,real_x,real_y,cte_m
0.106,0.0,0.0,0.0007,-0.0,-0.0
0.205,0.0,0.0,0.0007,-0.0,-0.0
0.306,0.0,0.0,0.0082,-0.0002,-0.0002
0.405,0.0,0.0,0.0252,-0.0005,-0.0004
0.506,0.0522,-0.0002,0.0496,-0.001,-0.0008
0.606,0.0522,-0.0002,0.082,-0.0015,-0.0012
0.706,0.1145,-0.0003,0.1201,-0.002,-0.0016
0.806,0.1683,-0.0004,0.165,-0.0024,-0.0021
0.905,0.2289,-0.0003,0.2151,-0.0027,-0.0024
1.006,0.2847,-0.0,0.2604,-0.0026,-0.0025
1.106,0.3372,0.0003,0.331,-0.0021,-0.0024
1.206,0.3947,0.0007,0.3966,-0.0011,-0.0019
1.306,0.4543,0.0012,0.4648,0.0004,-0.0008
1.405,0.5106,0.0016,0.5369,0.0024,0.0005
1.506,0.6171,0.0024,0.6141,0.0047,0.0023
1.606,0.6692,0.0028,0.6942,0.007,0.004
1.706,0.7703,0.0037,0.7761,0.0095,0.0057
1.806,0.8732,0.0047,0.8622,0.012,0.0074
1.906,0.9771,0.0059,0.9517,0.0145,0.0089
2.006,1.028,0.0066,1.0428,0.0166,0.0098
2.106,1.1379,0.0082,1.1315,0.0182,0.0101
2.205,1.2497,0.01,1.2303,0.0194,0.0098
2.306,1.3036,0.0109,1.3135,0.0199,0.0089
2.406,1.4059,0.0127,1.4046,0.0201,0.0074
2.506,1.5133,0.015,1.4967,0.0203,0.0057
2.606,1.5701,0.0164,1.5887,0.0207,0.0038
2.706,1.6711,0.019,1.6785,0.0214,0.0022
2.805,1.7868,0.0226,1.7704,0.0228,0.0007
2.906,1.8441,0.0245,1.8612,0.0246,-0.0005
3.006,1.9554,0.0283,1.9521,0.0271,-0.0011
3.106,2.0602,0.0321,2.045,0.031,-0.0006
3.205,2.1641,0.0372,2.14,0.0373,0.0019
3.305,2.2162,0.0426,2.2248,0.0465,0.0028
3.406,2.3212,0.0617,2.314,0.0615,0.0014
3.505,2.4193,0.09,2.4015,0.083,-0.001
3.606,2.4688,0.1079,2.4858,0.1104,-0.0038
3.706,2.5676,0.1515,2.5669,0.1444,-0.006
3.806,2.6582,0.2015,2.6445,0.1848,-0.0071
3.906,2.7012,0.2292,2.7184,0.2318,-0.0074
4.005,2.7927,0.2972,2.7875,0.2834,-0.0074
4.106,2.8347,0.3332,2.8474,0.337,-0.0057
4.206,2.9209,0.4187,2.9044,0.396,-0.0033
4.305,2.9547,0.4572,2.9561,0.4574,-0.0009
4.406,2.9882,0.4991,3.0042,0.5223,0.0014
4.506,3.0618,0.6064,3.0478,0.5872,0.0017
4.605,3.089,0.6535,3.0871,0.6554,0.0026
4.706,3.1163,0.7066,3.1223,0.7256,0.003
4.806,3.1594,0.8068,3.1535,0.7983,0.0025
4.906,3.1796,0.8644,3.1792,0.8704,0.0022
5.006,3.2083,0.9681,3.2001,0.9438,0.0025
5.106,3.2196,1.0237,3.2167,1.0175,0.0017
5.206,3.2276,1.0733,3.2307,1.0929,-0.0001
5.306,3.242,1.1786,3.2408,1.1647,-0.0007
5.406,3.2487,1.2307,3.2493,1.2391,0.0006
5.506,3.2624,1.3384,3.2566,1.314,0.0028
5.606,3.2689,1.3902,3.2634,1.3899,0.0053
5.706,3.2752,1.4426,3.2703,1.4659,0.0077
5.806,3.2878,1.5512,3.2774,1.5433,0.0095
5.906,3.294,1.6077,3.2851,1.6216,0.0104
6.006,3.3066,1.7275,3.293,1.6992,0.0106
6.106,3.3121,1.7819,3.3015,1.7798,0.0102
6.206,3.3179,1.8429,3.3104,1.8611,0.0092
6.306,3.3283,1.9552,3.319,1.9417,0.008
6.406,3.3337,2.0161,3.3271,2.0225,0.0072
6.506,3.3424,2.1203,3.3337,2.104,0.0076
6.606,3.3444,2.1716,3.3376,2.1866,0.007
6.706,3.3402,2.2806,3.3373,2.2683,0.0039
6.806,3.3337,2.3333,3.3307,2.3518,0.0003
6.906,3.3139,2.435,3.3175,2.4322,-0.0028
7.006,3.3002,2.4843,3.2977,2.5104,-0.0051
7.106,3.2599,2.5953,3.2708,2.5861,-0.0066
7.206,3.239,2.6412,3.2377,2.6583,-0.0062
7.306,3.1872,2.7366,3.1993,2.7268,-0.0053
7.406,3.1594,2.7801,3.1569,2.7903,-0.0036
7.506,3.0953,2.8661,3.109,2.8514,-0.0014
7.606,3.0581,2.909,3.0571,2.9085,0.0011
7.706,3.0233,2.9454,3.0028,2.9605,0.0039
7.806,2.9441,3.0174,2.9441,3.011,0.0049
7.906,2.8951,3.056,2.8845,3.0572,0.0054
8.005,2.8489,3.089,2.8218,3.1013,0.0053
8.106,2.7476,3.1519,2.7571,3.142,0.0038
8.205,2.6981,3.1782,2.6899,3.1796,0.0024
8.306,2.645,3.2039,2.6209,3.2138,0.0012
8.406,2.5392,3.2493,2.5503,3.2445,0.0004
8.505,2.4887,3.2686,2.4805,3.2709,0.0007
8.606,2.3916,3.3015,2.4096,3.2941,0.0016
8.706,2.339,3.3171,2.3378,3.3143,0.0029
8.806,2.2834,3.332,2.2649,3.3318,0.0047
8.906,2.1813,3.355,2.1907,3.3469,0.0061
9.006,2.1302,3.3647,2.1155,3.3595,0.0077
9.106,2.0272,3.3803,2.0394,3.3703,0.0084
9.206,1.9709,3.3868,1.9626,3.3793,0.0082
9.306,1.8657,3.395,1.886,3.3869,0.007
9.405,1.8144,3.3978,1.8082,3.3929,0.0052
9.506,1.7097,3.4036,1.7322,3.3976,0.0048
9.606,1.6593,3.4063,1.6527,3.4014,0.0053
9.706,1.6032,3.4093,1.5756,3.4044,0.0062
9.806,1.4952,3.4147,1.5,3.4073,0.0071
9.906,1.4418,3.4173,1.4224,3.4101,0.0081
10.005,1.3403,3.4222,1.3405,3.4131,0.009
10.106,1.288,3.4247,1.2654,3.4159,0.0098
10.206,1.1778,3.4298,1.187,3.4189,0.0105
10.306,1.1208,3.4324,1.1077,3.4224,0.0106
10.406,1.0155,3.437,1.0284,3.4262,0.0102
10.506,0.9647,3.4391,0.9499,3.4302,0.0095
10.606,0.8569,3.4435,0.8687,3.4347,0.0083
10.706,0.8022,3.4457,0.7908,3.439,0.007
10.806,0.6858,3.4501,0.7104,3.4435,0.0057
10.905,0.6344,3.4519,0.6306,3.4475,0.0045
11.006,0.5768,3.4539,0.5506,3.4509,0.0038
11.105,0.4715,3.4571,0.4705,3.453,0.0042
11.206,0.3622,3.4555,0.3895,3.4527,0.0042
11.306,0.3059,3.4513,0.31,3.4493,0.0024
11.406,0.2452,3.4445,0.2302,3.4426,-0.0
