time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.111,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.41,0.0,0.0,-0.0033,0.0018,0.0,-0.0,0.0,0.0018
0.51,0.0,0.0,-0.0033,0.0191,0.0,0.0,0.0001,0.0191
0.61,0.0522,-0.0002,-0.0033,0.0482,0.0,-0.0,0.0002,0.0041
0.71,0.1145,-0.0003,-0.0021,0.0985,-0.0,-0.0,0.0003,0.016
0.81,0.1145,-0.0003,-0.0021,0.1372,0.0,0.0023,0.0004,0.0227
0.91,0.1683,-0.0004,-0.0,0.1913,0.0002,0.0033,0.0006,0.023
1.01,0.2289,-0.0003,0.0033,0.2503,0.0004,0.0044,0.0006,0.0214
1.11,0.3372,0.0003,0.0066,0.318,0.0008,0.0054,0.0007,0.0192
1.21,0.3947,0.0007,0.0077,0.4012,0.0014,0.0087,0.0007,0.0065
1.31,0.4543,0.0012,0.0087,0.4759,0.0021,0.0087,0.0007,0.0216
1.41,0.5648,0.002,0.0066,0.5423,0.0027,0.0099,0.0009,0.0226
1.511,0.6171,0.0024,0.0077,0.6197,0.0035,0.011,0.0012,0.0028
1.611,0.72,0.0033,0.0087,0.7047,0.0046,0.0131,0.0015,0.0153
1.71,0.8232,0.0042,0.0099,0.7986,0.0059,0.0141,0.0019,0.0246
1.81,0.8732,0.0047,0.011,0.8868,0.0072,0.0154,0.0024,0.0139
1.91,0.9771,0.0059,0.0131,0.9699,0.0085,0.0154,0.0027,0.0076
2.01,1.0823,0.0073,0.0154,1.0621,0.01,0.0154,0.003,0.0203
2.111,1.1379,0.0082,0.0154,1.1573,0.0116,0.0164,0.0031,0.0197
2.21,1.2497,0.01,0.0164,1.2529,0.0133,0.0197,0.0033,0.0047
2.312,1.3554,0.0118,0.0187,1.348,0.0154,0.0218,0.0037,0.0082
2.41,1.4628,0.0139,0.0208,1.4437,0.0176,0.0241,0.0041,0.0195
2.51,1.5133,0.015,0.0229,1.5385,0.0199,0.0251,0.0044,0.0257
2.61,1.6202,0.0177,0.0262,1.6361,0.0225,0.0274,0.0044,0.0167
2.71,1.7277,0.0208,0.0316,1.728,0.025,0.0284,0.0042,0.0042
2.811,1.7868,0.0226,0.0316,1.8028,0.0271,0.0284,0.004,0.0167
2.91,1.9015,0.0264,0.0349,1.9182,0.0305,0.0305,0.0035,0.0171
3.012,2.0079,0.0302,0.0361,2.0131,0.0334,0.0305,0.003,0.0061
3.111,2.1124,0.0342,0.0436,2.1107,0.0365,0.0339,0.0024,0.0029
3.211,2.2162,0.0426,0.1244,2.1981,0.0401,0.0469,-0.0003,0.0182
3.313,2.2669,0.0504,0.1735,2.2932,0.046,0.0808,-0.0089,0.0267
3.41,2.37,0.0745,0.2793,2.3822,0.0564,0.1419,-0.0208,0.0219
3.51,2.4688,0.1079,0.3665,2.4715,0.0736,0.2215,-0.033,0.0344
3.61,2.5155,0.1272,0.4068,2.5605,0.0986,0.3054,-0.0441,0.0533
3.712,2.6149,0.1762,0.5041,2.6433,0.1298,0.3927,-0.0544,0.0544
