time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.105,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,-0.0033,0.0114,-0.0,0.0,0.0,0.0114
0.405,0.0522,-0.0002,-0.0033,0.0283,-0.0,0.0,0.0001,0.0239
0.505,0.0522,-0.0002,-0.0033,0.0371,0.0,0.0012,0.0001,0.0152
0.605,0.0522,-0.0002,-0.0033,0.0816,0.0001,0.0012,0.0003,0.0294
0.706,0.1145,-0.0003,-0.0021,0.1308,0.0001,0.0023,0.0005,0.0162
0.805,0.1683,-0.0004,-0.0,0.1691,0.0002,0.0023,0.0006,0.001
0.905,0.2289,-0.0003,0.0033,0.2229,0.0004,0.0033,0.0007,0.006
1.005,0.2847,-0.0,0.0044,0.2805,0.0006,0.0045,0.0006,0.0043
1.105,0.3372,0.0003,0.0066,0.3413,0.0009,0.0056,0.0006,0.0041
1.205,0.3947,0.0007,0.0077,0.409,0.0014,0.0077,0.0006,0.0143
1.305,0.5106,0.0016,0.0077,0.4849,0.002,0.0087,0.0006,0.0257
1.405,0.5648,0.002,0.0066,0.5574,0.0027,0.0099,0.0008,0.0075
1.505,0.6692,0.0028,0.0087,0.6498,0.0037,0.011,0.001,0.0194
1.605,0.72,0.0033,0.0087,0.704,0.0044,0.0133,0.0013,0.016
1.706,0.8232,0.0042,0.0099,0.8222,0.0059,0.0133,0.0017,0.002
1.805,0.8732,0.0047,0.011,0.8936,0.0069,0.0133,0.0019,0.0206
1.905,1.028,0.0066,0.0131,1.0035,0.0085,0.0154,0.0022,0.0245
2.006,1.0823,0.0073,0.0154,1.0789,0.0097,0.0164,0.0024,0.0042
2.106,1.1919,0.009,0.0154,1.1757,0.0114,0.0187,0.0026,0.0163
2.206,1.3036,0.0109,0.0175,1.2913,0.0136,0.0187,0.0029,0.0126
2.305,1.3554,0.0118,0.0187,1.3683,0.0152,0.022,0.0032,0.0133
2.406,1.4628,0.0139,0.0208,1.4847,0.0179,0.0251,0.0036,0.0222
2.505,1.5701,0.0164,0.0251,1.57,0.0201,0.0262,0.0038,0.0038
2.605,1.6711,0.019,0.0284,1.6777,0.0231,0.0284,0.0039,0.0077
2.706,1.7868,0.0226,0.0316,1.7594,0.0256,0.0318,0.0038,0.0275
2.805,1.8441,0.0245,0.0328,1.8582,0.0288,0.0339,0.0039,0.0147
