time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.105,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,-0.0033,0.0005,0.0,0.0,0.0,0.0005
0.305,0.0,0.0,-0.0033,0.0086,-0.0,-0.0,0.0,0.0086
0.405,0.0522,-0.0002,-0.0033,0.028,-0.0,-0.0,0.0001,0.0243
0.505,0.0522,-0.0002,-0.0033,0.0554,-0.0,0.0,0.0002,0.0031
0.605,0.1145,-0.0003,-0.0021,0.0916,0.0,0.001,0.0003,0.023
0.705,0.1145,-0.0003,-0.0021,0.1333,0.0001,0.001,0.0005,0.0188
0.805,0.1683,-0.0004,-0.0,0.1739,0.0001,0.0021,0.0005,0.0056
0.905,0.2289,-0.0003,0.0033,0.2405,0.0004,0.0044,0.0006,0.0116
1.005,0.2847,-0.0,0.0044,0.2775,0.0005,0.0044,0.0006,0.0073
1.105,0.3947,0.0007,0.0077,0.3712,0.0011,0.0077,0.0006,0.0236
1.205,0.4543,0.0012,0.0087,0.4452,0.0018,0.0098,0.0007,0.0091
1.305,0.5106,0.0016,0.0077,0.5269,0.0026,0.0108,0.0009,0.0164
1.405,0.6171,0.0024,0.0077,0.6048,0.0035,0.0108,0.0012,0.0124
1.505,0.6692,0.0028,0.0087,0.6912,0.0046,0.0141,0.0016,0.022
1.605,0.7703,0.0037,0.0087,0.7832,0.0059,0.0154,0.0021,0.013
1.705,0.8732,0.0047,0.011,0.8718,0.0073,0.0164,0.0026,0.003
1.805,0.9771,0.0059,0.0131,0.966,0.0089,0.0175,0.0032,0.0115
1.905,1.0823,0.0073,0.0154,1.0618,0.0108,0.0195,0.0038,0.0207
2.005,1.1379,0.0082,0.0154,1.161,0.0128,0.0218,0.0043,0.0235
2.105,1.2497,0.01,0.0164,1.2592,0.015,0.0229,0.0049,0.0108
2.205,1.3554,0.0118,0.0187,1.3623,0.0175,0.0251,0.0056,0.0089
2.305,1.4628,0.0139,0.0208,1.4626,0.0201,0.0272,0.0063,0.0063
2.405,1.5701,0.0164,0.0251,1.5602,0.0229,0.0283,0.0068,0.0119
2.505,1.6711,0.019,0.0284,1.6585,0.0259,0.0316,0.0072,0.0143
2.605,1.7868,0.0226,0.0316,1.7613,0.0293,0.0339,0.0074,0.0263
2.706,1.8441,0.0245,0.0328,1.8367,0.0319,0.0349,0.0077,0.0105
2.805,1.9554,0.0283,0.0361,1.9595,0.0364,0.0382,0.0079,0.0091
2.905,2.0602,0.0321,0.0372,2.0563,0.0402,0.0403,0.0082,0.009
3.005,2.1124,0.0342,0.0436,2.1369,0.0436,0.0436,0.0083,0.0262
3.105,2.2669,0.0504,0.1735,2.256,0.0493,0.0654,0.0007,0.011
3.205,2.37,0.0745,0.2793,2.3527,0.0576,0.0981,-0.0115,0.0242
3.305,2.4193,0.09,0.3229,2.45,0.0709,0.1658,-0.0278,0.0361
3.405,2.5155,0.1272,0.4068,2.5449,0.0917,0.2695,-0.0442,0.0461
3.505,2.6149,0.1762,0.5041,2.636,0.1234,0.3796,-0.0564,0.0569
3.605,2.6582,0.2015,0.5487,2.7072,0.1569,0.4658,-0.0637,0.0663
3.705,2.7454,0.2604,0.6337,2.8013,0.2126,0.5901,-0.0716,0.0735
3.805,2.8347,0.3332,0.7287,2.876,0.269,0.6817,-0.0754,0.0764
3.905,2.8774,0.3734,0.7756,2.9402,0.327,0.7679,-0.0771,0.0781
4.005,2.9547,0.4572,0.8706,3.0007,0.392,0.8508,-0.0772,0.0798
4.105,2.9882,0.4991,0.9142,3.0543,0.4592,0.9207,-0.0768,0.0773
4.205,3.0257,0.5508,0.9632,3.104,0.5307,0.9894,-0.0758,0.0809
4.305,3.089,0.6535,1.0659,3.1478,0.6037,1.0538,-0.0755,0.077
4.405,3.1163,0.7066,1.116,3.1873,0.6791,1.1104,-0.0759,0.0762
4.505,3.1594,0.8068,1.2055,3.2221,0.7564,1.1704,-0.0766,0.0805
4.605,3.1796,0.8644,1.2556,3.2518,0.8346,1.2315,-0.0779,0.0781
4.705,3.1953,0.9168,1.2982,3.2779,0.9183,1.2894,-0.0792,0.0826
4.805,3.2196,1.0237,1.3909,3.298,0.9985,1.3493,-0.0817,0.0824
4.906,3.2276,1.0733,1.4237,3.3104,1.0615,1.3952,-0.0836,0.0836
5.006,3.242,1.1786,1.4399,3.3223,1.1451,1.4486,-0.0841,0.0871
5.105,3.2487,1.2307,1.4422,3.3314,1.2443,1.502,-0.0802,0.0838
5.206,3.2624,1.3384,1.4465,3.3357,1.3275,1.5261,-0.0741,0.0741
5.305,3.2752,1.4426,1.4519,3.3388,1.4117,1.5369,-0.0669,0.0708
5.405,3.2818,1.4989,1.4553,3.3414,1.4954,1.5403,-0.0596,0.0597
5.506,3.294,1.6077,1.4617,3.344,1.5795,1.5403,-0.0527,0.0573
