time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.105,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.205,0.0,0.0,-0.0033,0.0,0.0,-0.0,0.0,0.0
0.305,0.0,0.0,-0.0033,0.0073,-0.0,-0.0,0.0,0.0073
0.405,0.0,0.0,-0.0033,0.0214,-0.0,0.0,0.0001,0.0214
0.505,0.0522,-0.0002,-0.0033,0.0477,0.0,0.001,0.0002,0.0046
0.605,0.1145,-0.0003,-0.0021,0.0834,0.0001,0.0021,0.0003,0.0311
0.705,0.1145,-0.0003,-0.0021,0.1257,0.0002,0.0033,0.0005,0.0112
0.805,0.1683,-0.0004,-0.0,0.176,0.0004,0.0066,0.0008,0.0077
0.905,0.2289,-0.0003,0.0033,0.2313,0.0009,0.0087,0.0011,0.0026
1.005,0.2847,-0.0,0.0044,0.2931,0.0014,0.0098,0.0014,0.0085
1.105,0.3372,0.0003,0.0066,0.3609,0.0022,0.012,0.0017,0.0238
1.205,0.3947,0.0007,0.0077,0.3892,0.0025,0.0131,0.0019,0.0058
1.305,0.5106,0.0016,0.0077,0.5072,0.0043,0.0154,0.0026,0.0043
1.405,0.5648,0.002,0.0066,0.5875,0.0056,0.0164,0.0034,0.023
1.505,0.6692,0.0028,0.0087,0.6701,0.007,0.0185,0.0042,0.0043
1.605,0.7703,0.0037,0.0087,0.7596,0.0088,0.0208,0.0052,0.0119
1.705,0.8232,0.0042,0.0099,0.8472,0.0107,0.0218,0.0063,0.0249
1.805,0.9262,0.0053,0.012,0.9392,0.0128,0.0229,0.0073,0.015
1.905,1.028,0.0066,0.0131,1.034,0.0152,0.0262,0.0085,0.0105
2.005,1.1379,0.0082,0.0154,1.1335,0.0179,0.0272,0.0097,0.0106
2.105,1.2497,0.01,0.0164,1.2291,0.0206,0.0295,0.011,0.0232
2.205,1.3554,0.0118,0.0187,1.3305,0.0237,0.0316,0.0124,0.0276
2.305,1.4059,0.0127,0.0197,1.4267,0.027,0.036,0.0138,0.0252
2.405,1.5133,0.015,0.0229,1.5338,0.0309,0.037,0.0154,0.0259
2.505,1.6202,0.0177,0.0262,1.6226,0.0342,0.0382,0.0165,0.0167
2.605,1.7277,0.0208,0.0316,1.7229,0.0382,0.0393,0.0175,0.018
2.705,1.8441,0.0245,0.0328,1.8178,0.042,0.0403,0.0183,0.0317
2.805,1.9015,0.0264,0.0349,1.9143,0.0459,0.0415,0.019,0.0233
2.905,2.0079,0.0302,0.0361,2.0118,0.0501,0.0436,0.0197,0.0202
