throttle,mean,std,n
0.5,0.0,0.0,49
0.58,0.4379,0.061,49
0.6,0.4548,0.0537,49
0.61,0.4639,0.0581,49
0.62,0.4367,0.0536,49
0.63,0.7337,0.0868,49
0.64,0.7047,0.0829,49
0.65,0.7752,0.0911,49
0.66,0.8144,0.0866,49
0.67,0.7566,0.0829,49
0.68,0.7652,0.0809,49
0.7,0.7445,0.0859,49
0.75,1.0361,0.1045,49
0.8,1.391,0.1399,49
0.85,1.3287,0.1412,49
0.9,1.5768,0.1771,49
0.95,0.0,0.0,49
1.0,0.0,0.0,49
