throttle,mean,std,n
0.5,0.1026,0.0284,48
0.58,0.409,0.0547,47
0.62,0.4725,0.0547,47
0.65,0.8558,0.1023,48
0.7,0.7666,0.0978,48
0.75,1.0875,0.1149,48
0.85,1.3892,0.1453,48
1.0,1.9277,0.1905,48
