throttle,mean,std,n
0.5,0.2033,0.028,48
0.58,0.4048,0.0435,48
0.62,0.4333,0.0593,48
0.65,0.8558,0.0907,48
0.7,0.8554,0.097,48
0.75,1.0847,0.1127,48
0.85,1.3525,0.1445,48
1.0,1.9355,0.205,48
