time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0003,0.0,0.0
0.405,0.0,0.0,0.0003,0.0,0.0
0.505,0.0,0.0,0.0099,0.0,0.0
0.605,0.0522,-0.0002,0.0381,0.0,0.0002
0.705,0.0522,-0.0002,0.0443,0.0,0.0002
0.804,0.1145,-0.0003,0.1086,0.0001,0.0005
0.904,0.1683,-0.0004,0.1477,0.0003,0.0007
1.005,0.1683,-0.0004,0.1965,0.0006,0.001
1.105,0.2289,-0.0003,0.2463,0.001,0.0012
1.205,0.2847,-0.0,0.2902,0.0014,0.0014
1.304,0.3372,0.0003,0.3603,0.0023,0.0019
1.405,0.3947,0.0007,0.4216,0.0032,0.0023
1.505,0.4543,0.0012,0.4633,0.004,0.0027
1.605,0.5648,0.002,0.5591,0.0057,0.0038
1.705,0.6171,0.0024,0.6323,0.0073,0.0048
1.805,0.72,0.0033,0.7038,0.0087,0.0056
1.905,0.7703,0.0037,0.7788,0.0103,0.0065
2.005,0.8732,0.0047,0.8566,0.0119,0.0073
2.104,0.9262,0.0053,0.9421,0.0135,0.008
2.205,0.9771,0.0059,1.0023,0.0147,0.0084
2.305,1.0823,0.0073,1.0872,0.0163,0.0089
2.405,1.1919,0.009,1.1877,0.0181,0.0091
2.505,1.3036,0.0109,1.2777,0.0196,0.0092
2.605,1.3036,0.0109,1.3016,0.02,0.0091
2.705,1.4628,0.0139,1.4533,0.0223,0.0086
2.805,1.4628,0.0139,1.4709,0.0225,0.0085
2.905,1.6202,0.0177,1.6302,0.0248,0.0068
3.005,1.7277,0.0208,1.7121,0.026,0.0057
3.105,1.7868,0.0226,1.7999,0.0274,0.0044
3.205,1.9015,0.0264,1.8842,0.0291,0.0033
3.305,1.9554,0.0283,1.9652,0.0311,0.0024
3.405,2.0602,0.0321,2.0488,0.034,0.0023
3.505,2.0602,0.0321,2.0651,0.0348,0.0025
3.605,2.2162,0.0426,2.2168,0.0457,0.003
3.705,2.3212,0.0617,2.2951,0.0574,0.0017
3.805,2.3212,0.0617,2.3144,0.0609,0.0008
3.904,2.4193,0.09,2.4276,0.0843,-0.0081
4.004,2.4688,0.1079,2.4979,0.1034,-0.0146
4.105,2.5676,0.1515,2.5997,0.1441,-0.0208
4.204,2.6582,0.2015,2.65,0.1735,-0.0197
4.305,2.7012,0.2292,2.7219,0.2224,-0.0172
4.404,2.7927,0.2972,2.778,0.2684,-0.0131
4.505,2.8347,0.3332,2.83,0.3164,-0.0094
4.605,2.8774,0.3734,2.8778,0.3665,-0.0052
4.705,2.9209,0.4187,2.9219,0.4171,-0.0018
4.804,2.9547,0.4572,2.9652,0.4703,0.0004
4.905,2.9882,0.4991,3.0042,0.5225,0.0015
5.004,3.0257,0.5508,3.0431,0.5786,0.0016
5.105,3.089,0.6535,3.0751,0.6308,0.0012
5.205,3.1163,0.7066,3.1083,0.6907,0.0002
5.305,3.1163,0.7066,3.126,0.7253,-0.0004
5.405,3.1594,0.8068,3.1613,0.8045,-0.0026
5.504,3.1594,0.8068,3.1659,0.8164,-0.0026
5.605,3.1953,0.9168,3.2027,0.9242,-0.0051
5.705,3.2083,0.9681,3.2179,0.9845,-0.0057
5.805,3.2196,1.0237,3.2305,1.0458,-0.0068
5.904,3.2349,1.1253,3.2404,1.1067,-0.008
6.005,3.242,1.1786,3.2463,1.1516,-0.0078
6.105,3.2487,1.2307,3.2546,1.2261,-0.0064
6.205,3.2557,1.2848,3.2578,1.2608,-0.0052
6.305,3.2624,1.3384,3.2632,1.323,-0.0026
6.405,3.2689,1.3902,3.2702,1.4101,0.0011
6.505,3.2818,1.4989,3.2751,1.4715,0.0036
6.605,3.2818,1.4989,3.2761,1.485,0.0041
6.705,3.2878,1.5512,3.2825,1.5668,0.007
6.805,3.3,1.6635,3.2891,1.649,0.0093
6.904,3.3066,1.7275,3.295,1.72,0.0108
7.005,3.3121,1.7819,3.3016,1.7915,0.0113
7.105,3.3179,1.8429,3.3077,1.8546,0.0113
7.205,3.3233,1.9,3.3144,1.9232,0.011
7.305,3.3337,2.0161,3.3206,1.9892,0.0107
7.405,3.3382,2.0665,3.3264,2.0567,0.0108
7.505,3.3382,2.0665,3.3275,2.0704,0.011
7.605,3.3444,2.1716,3.3335,2.1603,0.0107
7.705,3.3438,2.2265,3.3361,2.2303,0.0075
7.805,3.3337,2.3333,3.3367,2.3084,0.0007
7.905,3.3251,2.3854,3.3337,2.3994,-0.0109
