time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0046,0.0,0.0
0.404,0.0,0.0,0.0214,0.0,0.0001
0.504,0.0522,-0.0002,0.0428,0.0,0.0002
0.604,0.1145,-0.0003,0.0863,0.0001,0.0004
0.705,0.1145,-0.0003,0.1292,0.0002,0.0006
0.804,0.1683,-0.0004,0.1805,0.0004,0.0008
0.904,0.2289,-0.0003,0.2381,0.0006,0.0008
1.004,0.2847,-0.0,0.2883,0.0009,0.0009
1.104,0.3947,0.0007,0.3702,0.0015,0.001
1.205,0.4543,0.0012,0.4411,0.0022,0.0012
1.305,0.5106,0.0016,0.5197,0.0032,0.0014
1.404,0.6171,0.0024,0.5997,0.0042,0.002
1.504,0.6692,0.0028,0.6851,0.0055,0.0025
1.605,0.7703,0.0037,0.7755,0.007,0.0032
1.704,0.8732,0.0047,0.861,0.0085,0.0039
1.804,0.9771,0.0059,0.9528,0.0102,0.0045
1.904,1.028,0.0066,1.0465,0.0118,0.0049
2.004,1.1379,0.0082,1.1417,0.0132,0.0049
2.105,1.2497,0.01,1.2438,0.0144,0.0046
2.205,1.3554,0.0118,1.3369,0.0155,0.004
2.304,1.4628,0.0139,1.4363,0.0166,0.0033
2.404,1.5133,0.015,1.5312,0.0178,0.0024
2.505,1.6202,0.0177,1.6262,0.019,0.0012
2.605,1.7277,0.0208,1.7237,0.0207,0.0001
2.704,1.8441,0.0245,1.8214,0.0231,-0.0007
2.805,1.8441,0.0245,1.8573,0.0241,-0.0009
2.904,2.0079,0.0302,2.0105,0.0293,-0.0011
3.004,2.1124,0.0342,2.1056,0.0341,0.0002
3.104,2.2162,0.0426,2.2003,0.042,0.0014
3.204,2.2669,0.0504,2.2762,0.0519,-0.0002
3.304,2.37,0.0745,2.3865,0.0749,-0.0042
3.405,2.4688,0.1079,2.4747,0.1025,-0.0072
3.505,2.5676,0.1515,2.5602,0.1367,-0.0099
3.604,2.6149,0.1762,2.6388,0.1781,-0.0099
3.705,2.7012,0.2292,2.6996,0.2167,-0.0095
3.805,2.7454,0.2604,2.7703,0.2692,-0.0077
3.905,2.8347,0.3332,2.8456,0.3371,-0.0044
4.004,2.9209,0.4187,2.9036,0.3984,-0.001
4.104,2.9547,0.4572,2.9568,0.4619,0.0015
4.205,3.0257,0.5508,3.0063,0.5278,0.0028
4.304,3.0618,0.6064,3.0526,0.5981,0.0035
4.405,3.0618,0.6064,3.0694,0.6259,0.0039
4.504,3.1379,0.7536,3.1286,0.7377,0.0021
4.605,3.1594,0.8068,3.1603,0.8115,0.0008
4.704,3.1796,0.8644,3.1868,0.8862,-0.0
4.805,3.2083,0.9681,3.2041,0.9455,-0.001
4.905,3.2196,1.0237,3.2252,1.0379,-0.003
5.004,3.2349,1.1253,3.2385,1.1147,-0.005
5.105,3.242,1.1786,3.2485,1.1916,-0.0048
5.205,3.2557,1.2848,3.2565,1.2678,-0.0029
5.304,3.2624,1.3384,3.2633,1.3453,-0.0
5.405,3.2689,1.3902,3.2684,1.407,0.0025
5.504,3.2818,1.4989,3.2763,1.5032,0.006
5.604,3.2878,1.5512,3.2826,1.5799,0.0084
5.705,3.3,1.6635,3.2896,1.66,0.01
5.805,3.3066,1.7275,3.2971,1.7407,0.0108
5.904,3.3179,1.8429,3.3053,1.8235,0.0108
6.005,3.3233,1.9,3.3116,1.8852,0.0102
6.105,3.3283,1.9552,3.3218,1.9822,0.0089
6.205,3.3382,2.0665,3.3295,2.0654,0.0085
6.305,3.3424,2.1203,3.3323,2.1015,0.0088
6.404,3.3438,2.2265,3.3383,2.2329,0.0053
6.504,3.3337,2.3333,3.3353,2.3161,0.001
6.605,3.3251,2.3854,3.3263,2.3956,-0.003
6.704,3.3002,2.4843,3.3096,2.4764,-0.0067
6.804,3.2833,2.5356,3.2869,2.551,-0.0085
6.905,3.239,2.6412,3.2574,2.6237,-0.0091
7.005,3.214,2.6901,3.2285,2.6811,-0.0085
7.104,3.1872,2.7366,3.1792,2.761,-0.0057
7.205,3.1271,2.8254,3.1352,2.8201,-0.0033
7.304,3.0953,2.8661,3.0867,2.8768,-0.0001
7.405,3.0233,2.9454,3.0345,2.931,0.0023
7.505,2.9852,2.9818,2.9908,2.9721,0.0033
7.605,2.9441,3.0174,2.9337,3.0215,0.0035
7.704,2.8489,3.089,2.8613,3.077,0.0029
7.805,2.7925,3.1256,2.7982,3.1195,0.0021
7.904,2.7476,3.1519,2.7303,3.1603,0.0012
