time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0017,-0.0,0.0
0.505,0.0,0.0,0.011,-0.0,0.0
0.606,0.0,0.0,0.0248,-0.0,0.0001
0.704,0.0522,-0.0002,0.0545,-0.0,0.0002
0.804,0.0522,-0.0002,0.0569,-0.0,0.0002
0.905,0.1145,-0.0003,0.085,-0.0,0.0003
1.005,0.1145,-0.0003,0.085,-0.0,0.0003
1.105,0.1683,-0.0004,0.1441,0.0001,0.0004
1.205,0.1683,-0.0004,0.182,0.0001,0.0005
1.304,0.2847,-0.0,0.2615,0.0002,0.0004
1.404,0.3372,0.0003,0.3116,0.0004,0.0003
1.505,0.3372,0.0003,0.3116,0.0004,0.0003
1.605,0.3947,0.0007,0.4188,0.001,0.0001
1.704,0.5106,0.0016,0.5203,0.0019,0.0002
1.804,0.5648,0.002,0.5536,0.0023,0.0004
1.904,0.6692,0.0028,0.6435,0.0034,0.0008
2.005,0.7703,0.0037,0.7482,0.005,0.0015
2.105,0.8232,0.0042,0.8346,0.0064,0.0021
2.205,0.9262,0.0053,0.9503,0.0087,0.0031
2.305,1.028,0.0066,1.0404,0.0113,0.0046
2.405,1.1379,0.0082,1.1595,0.0159,0.0074
2.505,1.2497,0.01,1.2429,0.0197,0.0098
2.605,1.3554,0.0118,1.3417,0.024,0.0125
2.704,1.4628,0.0139,1.4428,0.028,0.0145
2.805,1.5133,0.015,1.5377,0.0307,0.0151
2.904,1.6202,0.0177,1.6312,0.0321,0.0142
3.005,1.7277,0.0208,1.729,0.0328,0.012
3.105,1.8441,0.0245,1.8254,0.0327,0.0088
3.205,1.9015,0.0264,1.9203,0.0322,0.0051
3.305,2.0079,0.0302,2.0146,0.0324,0.0019
3.404,2.1124,0.0342,2.1083,0.0346,0.0006
3.505,2.2162,0.0426,2.2066,0.0409,-0.0005
3.605,2.2669,0.0504,2.2941,0.0519,-0.0033
3.704,2.4193,0.09,2.4078,0.0748,-0.0108
3.805,2.4193,0.09,2.4216,0.0786,-0.0116
3.904,2.5676,0.1515,2.5544,0.1216,-0.0209
4.004,2.6149,0.1762,2.6285,0.16,-0.0208
4.105,2.7012,0.2292,2.7152,0.2132,-0.0211
4.205,2.7454,0.2604,2.7643,0.2521,-0.0178
4.305,2.8347,0.3332,2.8235,0.3072,-0.012
4.405,2.8774,0.3734,2.881,0.3688,-0.0059
4.506,2.9209,0.4187,2.9256,0.4223,-0.0009
4.605,2.9882,0.4991,2.9714,0.4836,0.0038
4.705,3.0257,0.5508,3.0056,0.5335,0.0066
4.805,3.0618,0.6064,3.0609,0.619,0.0075
4.905,3.089,0.6535,3.0807,0.6529,0.007
5.005,3.1379,0.7536,3.1287,0.7398,0.0029
5.105,3.1594,0.8068,3.1596,0.8082,0.0003
5.205,3.1796,0.8644,3.1858,0.8768,-0.002
5.305,3.2083,0.9681,3.208,0.9447,-0.005
5.405,3.2196,1.0237,3.2259,1.0176,-0.0073
5.505,3.2276,1.0733,3.2383,1.0853,-0.0089
5.605,3.242,1.1786,3.2476,1.1555,-0.0086
5.705,3.2487,1.2307,3.2543,1.2269,-0.006
5.805,3.2487,1.2307,3.2543,1.2269,-0.006
5.905,3.2689,1.3902,3.2644,1.367,0.0016
6.005,3.2752,1.4426,3.2679,1.4252,0.0052
6.105,3.2752,1.4426,3.2679,1.4252,0.0052
6.205,3.2878,1.5512,3.2756,1.5565,0.0127
6.304,3.3,1.6635,3.2831,1.6717,0.0177
6.405,3.3,1.6635,3.2831,1.6717,0.0177
6.504,3.3121,1.7819,3.2938,1.8119,0.0211
6.605,3.3233,1.9,3.301,1.8817,0.0205
6.705,3.3283,1.9552,3.3083,1.9446,0.0189
6.805,3.3337,2.0161,3.3189,2.0151,0.0147
6.905,3.3382,2.0665,3.3291,2.0847,0.0106
7.006,3.3444,2.1716,3.3376,2.1573,0.0065
7.104,3.3438,2.2265,3.3434,2.2392,-0.0001
7.205,3.3337,2.3333,3.3433,2.3128,-0.0065
7.304,3.3337,2.3333,3.3404,2.353,-0.0094
7.405,3.3139,2.435,3.3267,2.451,-0.0163
7.505,3.2833,2.5356,3.3078,2.5186,-0.0176
7.604,3.2599,2.5953,3.2831,2.5854,-0.0177
7.704,3.239,2.6412,3.2553,2.6447,-0.0162
7.805,3.214,2.6901,3.2212,2.7047,-0.0132
7.905,3.1872,2.7366,3.1862,2.7575,-0.01
