time_s,ref_x,ref_y,real_x,real_y,cte_m
0.104,0.0,0.0,0.0,0.0,0.0
0.204,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0,0.0,0.0
0.404,0.0,0.0,0.0,0.0,0.0
0.504,0.0,0.0,0.0073,-0.0,0.0
0.604,0.0,0.0,0.0161,-0.0,0.0001
0.705,0.0522,-0.0002,0.0305,-0.0,0.0001
0.804,0.0522,-0.0002,0.0506,-0.0,0.0002
0.904,0.0522,-0.0002,0.0794,-0.0,0.0002
1.005,0.1683,-0.0004,0.1444,0.0,0.0004
1.105,0.2289,-0.0003,0.2022,0.0001,0.0005
1.205,0.2847,-0.0,0.2664,0.0003,0.0004
1.305,0.3372,0.0003,0.3407,0.0005,0.0002
1.404,0.3947,0.0007,0.4121,0.0008,0.0
1.504,0.5106,0.0016,0.4989,0.0012,-0.0003
1.605,0.5648,0.002,0.551,0.0014,-0.0005
1.705,0.5648,0.002,0.551,0.0014,-0.0005
1.805,0.72,0.0033,0.7328,0.0022,-0.0011
1.905,0.8232,0.0042,0.8066,0.0025,-0.0016
2.005,0.8732,0.0047,0.8858,0.0028,-0.002
2.105,0.9771,0.0059,0.9948,0.0033,-0.0029
2.205,1.0823,0.0073,1.0749,0.0037,-0.0035
2.304,1.1919,0.009,1.1672,0.0044,-0.0042
2.405,1.2497,0.01,1.2676,0.0054,-0.0048
2.505,1.3554,0.0118,1.3515,0.0066,-0.0051
2.605,1.4628,0.0139,1.4386,0.0079,-0.0055
2.705,1.5133,0.015,1.5295,0.0095,-0.0058
2.805,1.5133,0.015,1.5295,0.0095,-0.0058
2.905,1.7277,0.0208,1.7106,0.0133,-0.0069
3.005,1.8441,0.0245,1.8174,0.0168,-0.0068
3.105,1.9015,0.0264,1.8819,0.0196,-0.0061
3.205,1.9554,0.0283,1.9702,0.024,-0.0049
3.304,2.0602,0.0321,2.0587,0.0291,-0.003
3.405,2.1641,0.0372,2.1457,0.0353,-0.0006
3.505,2.2162,0.0426,2.2321,0.0436,-0.001
3.605,2.3212,0.0617,2.3196,0.0562,-0.005
3.705,2.4193,0.09,2.4002,0.0722,-0.0108
3.805,2.4688,0.1079,2.4808,0.0965,-0.015
3.904,2.5676,0.1515,2.5589,0.1281,-0.0171
4.005,2.6149,0.1762,2.6292,0.1644,-0.0173
4.104,2.6582,0.2015,2.6714,0.1904,-0.0163
