time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0,0.0,0.0
0.405,0.0,0.0,0.0,0.0,0.0
0.505,0.0,0.0,0.0,0.0,0.0
0.605,0.0,0.0,0.0,0.0,0.0
0.705,0.0,0.0,0.0,0.0,0.0
0.805,0.0,0.0,0.0024,-0.0,-0.0
0.905,0.0,0.0,0.0163,-0.0001,-0.0
1.005,0.0522,-0.0002,0.0376,-0.0002,-0.0001
1.105,0.0522,-0.0002,0.0739,-0.0004,-0.0001
1.205,0.1145,-0.0003,0.1198,-0.0005,-0.0001
1.305,0.1683,-0.0004,0.1608,-0.0004,-0.0
1.405,0.2289,-0.0003,0.2121,-0.0002,0.0001
1.505,0.2847,-0.0,0.2689,0.0003,0.0004
1.605,0.3372,0.0003,0.3296,0.0009,0.0007
1.705,0.3947,0.0007,0.3889,0.0017,0.0011
1.805,0.4543,0.0012,0.4612,0.003,0.0018
1.906,0.5106,0.0016,0.5245,0.0042,0.0024
2.005,0.6171,0.0024,0.5988,0.0057,0.0035
2.105,0.6692,0.0028,0.6796,0.0074,0.0045
2.205,0.7703,0.0037,0.7508,0.0088,0.0053
2.305,0.8232,0.0042,0.8315,0.0104,0.0061
2.405,0.9262,0.0053,0.9172,0.0121,0.0069
2.505,1.028,0.0066,1.0099,0.0139,0.0076
2.605,1.0823,0.0073,1.0856,0.0155,0.0081
2.705,1.1919,0.009,1.1722,0.0173,0.0085
2.805,1.2497,0.01,1.2631,0.0192,0.009
2.905,1.3554,0.0118,1.358,0.0212,0.0094
3.005,1.4059,0.0127,1.4281,0.0228,0.0096
3.105,1.5701,0.0164,1.5513,0.0255,0.0096
3.205,1.6202,0.0177,1.6294,0.0272,0.0093
3.305,1.7277,0.0208,1.7161,0.0291,0.0087
3.405,1.7868,0.0226,1.7898,0.0308,0.0081
3.505,1.9015,0.0264,1.8931,0.0333,0.0072
3.605,2.0079,0.0302,1.9819,0.0356,0.0063
3.705,2.0602,0.0321,2.0697,0.0378,0.0053
3.805,2.1641,0.0372,2.1564,0.0402,0.0035
3.905,2.2669,0.0504,2.2489,0.0457,-0.0015
4.005,2.3212,0.0617,2.3294,0.0553,-0.0081
4.105,2.4193,0.09,2.4126,0.0727,-0.0143
4.205,2.4688,0.1079,2.4983,0.0999,-0.0181
4.305,2.5676,0.1515,2.5688,0.1307,-0.0191
4.405,2.6582,0.2015,2.6552,0.1789,-0.0177
4.505,2.7012,0.2292,2.7023,0.2112,-0.0156
4.605,2.7454,0.2604,2.7614,0.2589,-0.0107
4.705,2.7927,0.2972,2.8156,0.3101,-0.0044
4.805,2.8774,0.3734,2.8678,0.366,0.0014
4.905,2.9209,0.4187,2.9212,0.4296,0.0072
5.005,2.9547,0.4572,2.954,0.4709,0.0094
5.105,2.9882,0.4991,2.9962,0.5283,0.0115
5.206,2.9882,0.4991,2.9962,0.5283,0.0115
5.305,3.0618,0.6064,3.0661,0.6292,0.0084
5.405,3.1163,0.7066,3.1196,0.7181,0.0021
5.505,3.1379,0.7536,3.1483,0.7719,-0.0023
5.605,3.1594,0.8068,3.1761,0.8303,-0.0072
5.705,3.1953,0.9168,3.2002,0.8904,-0.0118
5.805,3.2083,0.9681,3.2298,0.9733,-0.0198
5.905,3.2196,1.0237,3.2426,1.0246,-0.0225
6.005,3.2349,1.1253,3.2609,1.1077,-0.0282
6.105,3.242,1.1786,3.2663,1.1627,-0.0262
6.205,3.2487,1.2307,3.2673,1.2345,-0.0179
6.306,3.2557,1.2848,3.2651,1.2829,-0.0096
6.405,3.2624,1.3384,3.2614,1.337,0.0008
6.505,3.2689,1.3902,3.2588,1.3747,0.0081
6.605,3.2689,1.3902,3.2562,1.4089,0.0148
6.705,3.2689,1.3902,3.2562,1.4089,0.0148
6.805,3.2689,1.3902,3.2562,1.4089,0.0148
6.905,3.2689,1.3902,3.2562,1.4089,0.0148
7.005,3.2689,1.3902,3.2562,1.4089,0.0148
7.105,3.2689,1.3902,3.2562,1.4089,0.0148
7.205,3.2689,1.3902,3.2562,1.4089,0.0148
7.305,3.2689,1.3902,3.2562,1.4089,0.0148
7.405,3.2689,1.3902,3.2562,1.4089,0.0148
7.505,3.2689,1.3902,3.2562,1.4089,0.0148
7.605,3.2689,1.3902,3.2562,1.4091,0.0149
7.706,3.2689,1.3902,3.2555,1.4181,0.0166
7.805,3.2752,1.4426,3.254,1.439,0.0206
7.905,3.2752,1.4426,3.254,1.439,0.0206
