time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0074,-0.0001,-0.0001
0.405,0.0,0.0,0.0253,-0.0003,-0.0002
0.505,0.0522,-0.0002,0.0502,-0.0005,-0.0004
0.605,0.0522,-0.0002,0.0831,-0.0008,-0.0006
0.705,0.1145,-0.0003,0.1205,-0.0011,-0.0008
0.805,0.1683,-0.0004,0.1657,-0.0013,-0.0009
0.905,0.2289,-0.0003,0.2156,-0.0014,-0.0011
1.005,0.2847,-0.0,0.2733,-0.0012,-0.0011
1.105,0.3372,0.0003,0.3343,-0.0007,-0.0009
1.205,0.3947,0.0007,0.3856,0.0,-0.0006
1.305,0.4543,0.0012,0.4603,0.0012,-0.0
1.405,0.5648,0.002,0.5417,0.0028,0.0009
1.505,0.5648,0.002,0.5856,0.0037,0.0016
1.605,0.72,0.0033,0.6952,0.0062,0.0032
1.705,0.7703,0.0037,0.7756,0.0082,0.0045
1.805,0.8732,0.0047,0.8608,0.0104,0.0058
1.905,0.9262,0.0053,0.9453,0.0125,0.007
2.005,1.028,0.0066,1.0296,0.0146,0.008
2.105,1.0823,0.0073,1.105,0.0165,0.0088
2.205,1.1919,0.009,1.2096,0.019,0.0097
2.305,1.2497,0.01,1.2668,0.0201,0.0099
2.405,1.3036,0.0109,1.3263,0.0212,0.0099
2.505,1.5133,0.015,1.4944,0.0245,0.0099
2.605,1.5701,0.0164,1.5857,0.0262,0.0095
2.705,1.6711,0.019,1.6752,0.0279,0.0087
2.805,1.7868,0.0226,1.765,0.0296,0.0077
2.905,1.8441,0.0245,1.8394,0.0313,0.0069
3.005,1.9554,0.0283,1.9526,0.0339,0.0056
3.105,2.0079,0.0302,1.989,0.0347,0.0052
3.205,2.1124,0.0342,2.0942,0.0375,0.0041
3.305,2.1641,0.0372,2.1791,0.0401,0.0018
3.405,2.3212,0.0617,2.3044,0.0488,-0.0088
3.505,2.37,0.0745,2.3875,0.0646,-0.0144
3.605,2.4688,0.1079,2.4723,0.0906,-0.0175
3.705,2.5155,0.1272,2.5471,0.1208,-0.0183
3.805,2.6149,0.1762,2.617,0.1589,-0.0162
3.905,2.6582,0.2015,2.683,0.2021,-0.0124
4.005,2.7454,0.2604,2.7454,0.2504,-0.0081
4.105,2.7927,0.2972,2.8005,0.299,-0.0035
4.205,2.8774,0.3734,2.8565,0.3537,0.0006
4.305,2.9209,0.4187,2.9052,0.407,0.0036
4.405,2.9547,0.4572,2.9518,0.4629,0.0059
4.505,2.9882,0.4991,2.9961,0.5213,0.0073
4.605,3.0257,0.5508,3.0297,0.5694,0.0073
4.705,3.089,0.6535,3.0764,0.6428,0.0059
4.805,3.089,0.6535,3.0977,0.68,0.0053
4.905,3.1379,0.7536,3.1321,0.7436,0.0013
5.005,3.1594,0.8068,3.1522,0.7861,-0.0007
5.105,3.1953,0.9168,3.1999,0.9018,-0.0084
5.205,3.1953,0.9168,3.2051,0.9173,-0.0093
5.305,3.2083,0.9681,3.2239,0.983,-0.0118
5.405,3.2349,1.1253,3.2462,1.0975,-0.0149
5.505,3.242,1.1786,3.2526,1.1502,-0.0142
5.605,3.2487,1.2307,3.2589,1.2288,-0.0103
5.705,3.2557,1.2848,3.2621,1.2853,-0.0063
5.805,3.2624,1.3384,3.264,1.3227,-0.0035
5.905,3.2624,1.3384,3.2644,1.3299,-0.003
6.005,3.2624,1.3384,3.2658,1.3582,-0.0009
6.105,3.2689,1.3902,3.2676,1.3953,0.0019
6.205,3.2689,1.3902,3.268,1.4033,0.0025
6.305,3.2689,1.3902,3.2681,1.4058,0.0027
6.405,3.2689,1.3902,3.2681,1.4057,0.0027
6.505,3.2689,1.3902,3.2681,1.4057,0.0027
6.605,3.2689,1.3902,3.2681,1.4057,0.0027
6.705,3.2689,1.3902,3.2683,1.4107,0.003
6.805,3.2752,1.4426,3.2688,1.4218,0.0038
6.905,3.2752,1.4426,3.2698,1.4401,0.0051
7.005,3.2752,1.4426,3.2709,1.4611,0.0065
7.105,3.2818,1.4989,3.273,1.4996,0.0088
7.205,3.2878,1.5512,3.2751,1.5333,0.0106
7.305,3.2878,1.5512,3.2772,1.5639,0.0119
7.405,3.294,1.6077,3.28,1.6032,0.0135
7.505,3.3,1.6635,3.2838,1.6538,0.0151
7.605,3.3066,1.7275,3.2879,1.7004,0.0159
7.705,3.3066,1.7275,3.2927,1.7515,0.0163
7.805,3.3121,1.7819,3.2983,1.8048,0.0159
