time_s,ref_x,ref_y,real_x,real_y,cte_m
0.105,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0003,0.0,0.0
0.405,0.0,0.0,0.0049,0.0,0.0
0.505,0.0,0.0,0.0173,0.0,0.0001
0.605,0.0522,-0.0002,0.0336,0.0,0.0001
0.705,0.0522,-0.0002,0.0597,0.0001,0.0003
0.805,0.1145,-0.0003,0.0935,0.0001,0.0004
0.905,0.1145,-0.0003,0.1326,0.0001,0.0004
1.005,0.1683,-0.0004,0.1779,0.0001,0.0004
1.105,0.2289,-0.0003,0.2344,0.0001,0.0004
1.205,0.2847,-0.0,0.2966,0.0002,0.0002
1.305,0.3372,0.0003,0.3535,0.0004,0.0
1.405,0.3947,0.0007,0.4168,0.0006,-0.0002
1.505,0.5106,0.0016,0.4862,0.0008,-0.0006
1.605,0.5648,0.002,0.562,0.001,-0.001
1.705,0.6171,0.0024,0.6354,0.0012,-0.0013
1.805,0.72,0.0033,0.715,0.0016,-0.0016
1.905,0.7703,0.0037,0.7838,0.0022,-0.0016
2.005,0.8732,0.0047,0.8785,0.0032,-0.0016
2.105,0.9771,0.0059,0.9672,0.0044,-0.0014
2.205,1.028,0.0066,1.052,0.006,-0.0009
2.305,1.1379,0.0082,1.141,0.0078,-0.0004
2.405,1.2497,0.01,1.2386,0.0102,0.0004
2.505,1.3036,0.0109,1.3252,0.0125,0.0013
2.605,1.4059,0.0127,1.418,0.0154,0.0024
2.705,1.5133,0.015,1.5126,0.0188,0.0038
2.805,1.6202,0.0177,1.6022,0.0222,0.0051
2.905,1.6711,0.019,1.6965,0.0259,0.0061
3.005,1.7868,0.0226,1.7884,0.0294,0.0067
3.105,1.9015,0.0264,1.8796,0.033,0.0073
3.205,1.9554,0.0283,1.9695,0.0364,0.0075
3.305,2.0079,0.0302,2.031,0.0388,0.0077
3.405,2.1124,0.0342,2.1373,0.0441,0.0088
3.505,2.2162,0.0426,2.2237,0.0509,0.0073
3.605,2.3212,0.0617,2.3115,0.062,0.0025
3.705,2.37,0.0745,2.3955,0.0784,-0.0033
3.805,2.4688,0.1079,2.4765,0.1017,-0.0086
3.905,2.5676,0.1515,2.5558,0.1326,-0.0117
4.005,2.6149,0.1762,2.6292,0.1693,-0.013
4.105,2.7012,0.2292,2.6977,0.2117,-0.0126
4.205,2.7454,0.2604,2.7674,0.2646,-0.0096
4.305,2.8347,0.3332,2.8195,0.3117,-0.006
4.405,2.8347,0.3332,2.8509,0.3433,-0.0032
4.505,2.9209,0.4187,2.9222,0.4229,0.0019
4.605,2.9547,0.4572,2.957,0.4669,0.0045
4.705,3.0257,0.5508,3.0041,0.531,0.0064
4.805,3.0618,0.6064,3.0491,0.5986,0.0066
4.905,3.089,0.6535,3.085,0.6591,0.0062
5.005,3.1163,0.7066,3.1181,0.7213,0.0049
5.105,3.1594,0.8068,3.1482,0.7863,0.0031
5.205,3.1796,0.8644,3.1746,0.8532,0.0013
5.305,3.1953,0.9168,3.1964,0.9192,-0.0004
5.405,3.2083,0.9681,3.2047,0.9481,-0.001
5.505,3.2083,0.9681,3.2047,0.9481,-0.001
5.605,3.2083,0.9681,3.2047,0.9481,-0.001
5.705,3.2083,0.9681,3.2047,0.9481,-0.001
5.805,3.2083,0.9681,3.2047,0.9481,-0.001
5.905,3.2624,1.3384,3.3027,1.3195,-0.0423
6.005,3.2689,1.3902,3.3056,1.3881,-0.0367
6.105,3.2752,1.4426,3.3013,1.4582,-0.024
6.205,3.2818,1.4989,3.2969,1.509,-0.0138
6.305,3.294,1.6077,3.2908,1.5907,0.0014
6.405,3.3,1.6635,3.2877,1.6588,0.0117
6.505,3.3066,1.7275,3.2871,1.7351,0.0202
6.605,3.3121,1.7819,3.2883,1.7987,0.0253
6.705,3.3179,1.8429,3.2919,1.8659,0.0281
6.805,3.3283,1.9552,3.2983,1.9339,0.028
6.905,3.3283,1.9552,3.3013,1.9602,0.0273
7.005,3.3382,2.0665,3.3134,2.0618,0.0243
7.105,3.3424,2.1203,3.3189,2.1081,0.0226
7.205,3.3424,2.1203,3.3212,2.1271,0.0216
7.305,3.3444,2.1716,3.3253,2.1625,0.0189
7.405,3.3444,2.1716,3.3259,2.1676,0.0184
7.505,3.3444,2.1716,3.3259,2.1676,0.0184
7.605,3.3444,2.1716,3.3259,2.1676,0.0184
7.705,3.3444,2.1716,3.3259,2.1676,0.0184
7.805,3.3444,2.1716,3.3259,2.1676,0.0184
7.905,3.3444,2.1716,3.3259,2.1676,0.0184
