time_s,ref_x,ref_y,real_x,real_y,cte_m
0.104,0.0,0.0,0.0,0.0,0.0
0.205,0.0,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.0014,0.0,0.0
0.405,0.0,0.0,0.0168,0.0,0.0001
0.504,0.0522,-0.0002,0.0374,0.0,0.0001
0.604,0.0522,-0.0002,0.0647,0.0,0.0002
0.705,0.1145,-0.0003,0.0995,0.0,0.0003
0.804,0.1145,-0.0003,0.1406,0.0001,0.0005
0.904,0.1683,-0.0004,0.1846,0.0003,0.0007
1.005,0.2289,-0.0003,0.2348,0.0008,0.001
1.104,0.2847,-0.0,0.2901,0.0014,0.0014
1.204,0.3372,0.0003,0.3452,0.0021,0.0017
1.304,0.3947,0.0007,0.4089,0.0031,0.0023
1.405,0.4543,0.0012,0.4636,0.0042,0.003
1.504,0.5648,0.002,0.5489,0.0059,0.004
1.604,0.6171,0.0024,0.6259,0.0074,0.0049
1.705,0.72,0.0033,0.7043,0.0087,0.0056
1.805,0.7703,0.0037,0.7814,0.0099,0.0061
1.905,0.8232,0.0042,0.8461,0.0107,0.0063
2.004,0.9262,0.0053,0.9472,0.0118,0.0062
2.104,1.028,0.0066,1.0422,0.0125,0.0058
2.205,1.1379,0.0082,1.1267,0.0131,0.005
2.304,1.2497,0.01,1.2247,0.0136,0.0041
2.404,1.3036,0.0109,1.3057,0.014,0.0031
2.504,1.4059,0.0127,1.3886,0.0146,0.0022
2.604,1.4628,0.0139,1.4761,0.0154,0.0013
2.704,1.5133,0.015,1.5392,0.0161,0.0006
2.805,1.6202,0.0177,1.5964,0.017,-0.0001
2.904,1.6711,0.019,1.6486,0.0178,-0.0006
3.004,1.6711,0.019,1.6936,0.0187,-0.001
3.104,1.7277,0.0208,1.7312,0.0195,-0.0013
3.205,1.7868,0.0226,1.7615,0.0203,-0.0016
3.304,1.7868,0.0226,1.7821,0.0208,-0.0017
3.404,1.7868,0.0226,1.7981,0.0212,-0.0018
3.505,1.7868,0.0226,1.8042,0.0213,-0.0019
3.604,1.7868,0.0226,1.8062,0.0214,-0.0019
3.705,1.7868,0.0226,1.8062,0.0214,-0.0019
3.805,1.7868,0.0226,1.8062,0.0214,-0.0019
3.904,1.7868,0.0226,1.8129,0.0215,-0.0019
4.004,1.8441,0.0245,1.8305,0.022,-0.002
4.104,1.8441,0.0245,1.8599,0.0229,-0.0022
4.205,1.9015,0.0264,1.8874,0.0238,-0.0021
4.304,1.9015,0.0264,1.911,0.0247,-0.0021
4.405,1.9554,0.0283,1.9331,0.0256,-0.002
4.504,1.9554,0.0283,1.9477,0.0262,-0.0019
4.604,1.9554,0.0283,1.9558,0.0265,-0.0019
4.705,1.9554,0.0283,1.9566,0.0265,-0.0019
4.805,1.9554,0.0283,1.9566,0.0265,-0.0019
4.905,1.9554,0.0283,1.9566,0.0265,-0.0019
5.005,1.9554,0.0283,1.9566,0.0265,-0.0019
5.105,1.9554,0.0283,1.9566,0.0265,-0.0019
5.205,1.9554,0.0283,1.9566,0.0265,-0.0019
5.305,1.9554,0.0283,1.9566,0.0265,-0.0019
