time_s,ref_x,ref_y,real_x,real_y,cte_m
0.106,0.0,0.0,0.0,0.0,0.0
0.206,0.0,0.0,0.0001,0.0,0.0
0.306,0.0,0.0,0.0059,0.0,0.0
0.406,0.0,0.0,0.0189,0.0,0.0001
0.506,0.0522,-0.0002,0.0401,0.0,0.0001
0.606,0.0522,-0.0002,0.0701,0.0,0.0002
0.706,0.1145,-0.0003,0.1053,0.0,0.0003
0.806,0.1683,-0.0004,0.1507,0.0001,0.0004
0.905,0.2289,-0.0003,0.2028,0.0003,0.0006
1.006,0.2289,-0.0003,0.2555,0.0005,0.0007
1.106,0.3372,0.0003,0.3211,0.001,0.0008
1.206,0.3947,0.0007,0.3863,0.0016,0.001
1.306,0.4543,0.0012,0.4601,0.0025,0.0013
1.406,0.5106,0.0016,0.5352,0.0035,0.0016
1.506,0.6171,0.0024,0.6145,0.0047,0.0023
1.606,0.6692,0.0028,0.6927,0.006,0.003
1.706,0.7703,0.0037,0.7764,0.0076,0.0039
1.806,0.8732,0.0047,0.8647,0.0094,0.0048
1.906,0.9262,0.0053,0.9512,0.0112,0.0055
2.006,1.028,0.0066,1.0416,0.0128,0.006
2.106,1.1379,0.0082,1.1372,0.0142,0.006
2.206,1.2497,0.01,1.2287,0.0154,0.0058
2.306,1.3036,0.0109,1.3258,0.0164,0.0051
2.406,1.4059,0.0127,1.4178,0.0173,0.0043
2.506,1.5133,0.015,1.515,0.0183,0.0033
2.606,1.6202,0.0177,1.6074,0.0192,0.0018
2.705,1.7277,0.0208,1.7033,0.0205,0.0005
2.806,1.7868,0.0226,1.7916,0.0221,-0.0007
2.906,1.9015,0.0264,1.8865,0.0244,-0.0015
3.006,1.9554,0.0283,1.9769,0.0271,-0.002
3.106,2.0602,0.0321,2.072,0.0308,-0.0018
3.206,2.1641,0.0372,2.1591,0.0362,-0.0006
3.306,2.2669,0.0504,2.2527,0.0463,-0.0016
3.406,2.3212,0.0617,2.3389,0.0614,-0.0043
3.506,2.4193,0.09,2.4271,0.0849,-0.0073
3.606,2.5155,0.1272,2.508,0.114,-0.0091
3.705,2.5676,0.1515,2.5903,0.1519,-0.0096
3.806,2.6582,0.2015,2.6613,0.1927,-0.0092
3.906,2.7454,0.2604,2.7298,0.2401,-0.0071
4.006,2.7927,0.2972,2.7932,0.2921,-0.0042
4.106,2.8347,0.3332,2.853,0.3495,-0.0001
4.206,2.9209,0.4187,2.9048,0.4058,0.0031
4.306,2.9547,0.4572,2.9558,0.4679,0.006
4.406,3.0257,0.5508,3.0021,0.5301,0.0075
4.506,3.0618,0.6064,3.045,0.5938,0.0075
4.606,3.089,0.6535,3.0843,0.6586,0.0066
4.706,3.1163,0.7066,3.1202,0.7255,0.0048
4.806,3.1594,0.8068,3.1533,0.7971,0.0022
4.906,3.1796,0.8644,3.179,0.8637,0.0004
5.006,3.1953,0.9168,3.2017,0.935,-0.0012
5.106,3.2196,1.0237,3.2197,1.0055,-0.0034
5.206,3.2276,1.0733,3.234,1.077,-0.0058
5.306,3.2349,1.1253,3.2452,1.1501,-0.0069
5.405,3.2487,1.2307,3.2536,1.2218,-0.006
5.505,3.2557,1.2848,3.2606,1.2953,-0.0035
5.606,3.2689,1.3902,3.2663,1.3671,-0.0003
5.706,3.2752,1.4426,3.2718,1.4395,0.003
5.806,3.2818,1.4989,3.2773,1.513,0.0061
5.906,3.294,1.6077,3.2832,1.5882,0.0086
6.006,3.3,1.6635,3.2893,1.6593,0.0102
6.106,3.3066,1.7275,3.296,1.7329,0.0111
6.206,3.3121,1.7819,3.3032,1.8077,0.0114
6.305,3.3233,1.9,3.311,1.8824,0.0106
6.406,3.3283,1.9552,3.3191,1.9585,0.0094
6.506,3.3337,2.0161,3.3271,2.0372,0.0085
6.606,3.3424,2.1203,3.3334,2.1157,0.0087
6.706,3.3444,2.1716,3.3366,2.1908,0.0082
6.806,3.3402,2.2806,3.336,2.269,0.0052
6.906,3.3337,2.3333,3.3305,2.3459,0.0014
7.006,3.3139,2.435,3.319,2.4241,-0.0023
7.106,3.3002,2.4843,3.3026,2.4949,-0.0053
7.206,3.2833,2.5356,3.2802,2.5654,-0.0068
7.306,3.239,2.6412,3.2517,2.6348,-0.0087
7.406,3.214,2.6901,3.2184,2.7008,-0.0089
7.506,3.1872,2.7366,3.1818,2.7615,-0.0082
7.606,3.1271,2.8254,3.1426,2.8168,-0.0073
7.706,3.0953,2.8661,3.0984,2.8709,-0.0054
7.806,3.0581,2.909,3.0514,2.921,-0.003
7.906,2.9852,2.9818,3.0013,2.9681,-0.0009
8.006,2.9441,3.0174,2.9488,3.0124,0.0008
8.106,2.8951,3.056,2.8934,3.0546,0.0021
8.206,2.8489,3.089,2.8358,3.0942,0.0032
8.306,2.7925,3.1256,2.778,3.1304,0.0035
8.406,2.6981,3.1782,2.7168,3.1653,0.003
8.506,2.645,3.2039,2.6553,3.1971,0.0018
8.606,2.5938,3.2268,2.5877,3.2284,0.001
8.705,2.5392,3.2493,2.5208,3.2557,0.0009
8.806,2.4415,3.2852,2.4569,3.2786,0.0014
8.906,2.3916,3.3015,2.3894,3.2996,0.0025
9.006,2.339,3.3171,2.3199,3.3183,0.004
9.106,2.2306,3.3445,2.2515,3.3342,0.0055
9.206,2.1813,3.355,2.1821,3.3478,0.0069
9.306,2.1302,3.3647,2.109,3.3601,0.0083
9.406,2.0272,3.3803,2.0416,3.3696,0.0088
9.506,1.9709,3.3868,1.9712,3.3779,0.0088
9.606,1.9168,3.3917,1.8981,3.3851,0.008
9.706,1.8144,3.3978,1.8286,3.3909,0.0061
9.806,1.7615,3.4008,1.7542,3.3962,0.005
9.906,1.6593,3.4063,1.6782,3.4008,0.0045
10.006,1.6032,3.4093,1.6113,3.4042,0.0047
10.106,1.5467,3.4121,1.5357,3.4075,0.0051
10.206,1.4418,3.4173,1.4628,3.4105,0.0057
10.306,1.3903,3.4198,1.3899,3.4134,0.0064
10.406,1.3403,3.4222,1.3182,3.4162,0.0071
10.506,1.2307,3.4274,1.2439,3.4191,0.0076
10.606,1.1778,3.4298,1.1723,3.422,0.008
10.706,1.1208,3.4324,1.0951,3.4252,0.0084
10.806,1.0155,3.437,1.0232,3.4282,0.0085
10.906,0.9647,3.4391,0.9477,3.4314,0.0085
11.006,0.8569,3.4435,0.8714,3.4348,0.0082
