x,y,theta
0.0,0.0,-1.5948818704724188
-0.000509815967640058,-0.02116279320732206,-1.5948818704724188
-0.0010140583745442589,-0.042094224274640143,-1.5948818704724188
-0.0015437807094430824,-0.06546157725071551,-1.5926129424448257
-0.0020804280553946316,-0.09005577692518399,-1.5926129424448259
-0.0027731745188414253,-0.12299288409550506,-1.591565744893629
-0.0032027056623497477,-0.143670852904717,-1.5915657448936291
-0.0038216694820647308,-0.17346826050026007,-1.591565744893629
-0.004256278036433086,-0.1943906598821605,-1.5915657448936291
-0.004906056199023935,-0.22464575108867985,-1.5926129424448259
-0.005356907723987649,-0.24530798395379375,-1.5926129424448257
-0.00601983488937442,-0.2756895058194098,-1.5926129424448257
-0.006471859430515954,-0.29640549725487064,-1.5926129424448257
-0.007079703839003516,-0.324262612110894,-1.5926129424448257
-0.00767336348724122,-0.35284185688760983,-1.5915657448936291
-0.00823358117438782,-0.37981117922025626,-1.5915657448936293
-0.008918625563779026,-0.4148514942600907,-1.5903440144172334
-0.00942051677590928,-0.440523445539624,-1.5903440144172332
-0.009852037576425573,-0.4657612636378096,-1.5872024217636433
-0.010285520818964371,-0.49810175618829616,-1.5828390986336578
-0.010500767627071791,-0.5218295891717599,-1.5795229730548683
-0.010617901452344449,-0.5449729364782782,-1.5751596499248826
-0.010594138492633734,-0.5741350296855375,-1.5674802012161069
-0.010388549824654193,-0.5955057265863104,-1.557706357404939
-0.009747004143495022,-0.6218812015640155,-1.540253064884996
-0.008691076379236044,-0.6463312089919203,-1.5217525748138558
-0.007159536654625721,-0.6706265105211343,-1.5009831567151233
-0.005615677419290413,-0.6921625250554457,-1.50203035426632
-0.004446950702842458,-0.7131214736221261,-1.5227997723650528
-0.0035889201436946068,-0.7342076728471553,-1.536936939306207
-0.003075191301205143,-0.7563953206554,-1.55439023182615
-0.002966897907832902,-0.7799416985709994,-1.5751596499248823
-0.003273107707093581,-0.8003852460891216,-1.5926129424448257
-0.004033682982795671,-0.8231895272797148,-1.6111134325159655
-0.0052490696768277174,-0.8460240133724094,-1.631882850614698
-0.006976100127305642,-0.8693871852919193,-1.651430538237035
-0.008945802726805833,-0.8905617990190836,-1.6701055612333737
-0.011214175322327253,-0.910947200017367,-1.6886060513045138
-0.014326435647197315,-0.9346933621852728,-1.7093754694032464
-0.01809403386785164,-0.9590910354181872,-1.7332864801555685
-0.021762488861681493,-0.9799959591611919,-1.7507397726755118
-0.025748065755109628,-1.001512338459515,-1.755103095805498
-0.030410283356496433,-1.0265212267522223,-1.755103095805498
-0.034480800865527884,-1.0484408031435843,-1.7540558982543015
-0.03992014076489783,-1.0780352509970503,-1.751961503151908
-0.043794558306204316,-1.099240782666462,-1.7507397726755118
-0.04771852094373097,-1.1208574566748661,-1.7496925751243153
-0.05347096665624034,-1.1526688982027762,-1.749692575124315
-0.05763437132067268,-1.1756928276162433,-1.749692575124315
-0.06192807410108682,-1.1990560323937254,-1.754055898254301
-0.06778914322318089,-1.2291312564034027,-1.7681930651954554
-0.07231782116660176,-1.2506090726325456,-1.784599160164202
-0.07753302153491407,-1.2730452952907452,-1.8030996502353416
-0.08383036433678882,-1.297732561698989,-1.8271851939128638
-0.09244446506220907,-1.328313874446418,-1.8554595277951715
-0.10119093276308615,-1.3565232856744271,-1.8816394665750866
-0.11002655483139465,-1.3825988999509087,-1.906772207803805
-0.11891266312223533,-1.4069303630202328,-1.929636021004931
-0.12712273006966432,-1.4279592031580233,-1.9504054391036634
-0.13475270464098005,-1.4465308397941854,-1.96681153407241
-0.14375896198656532,-1.4674676117061565,-1.9842648265923533
-0.1531169596193524,-1.4881440671904749,-2.0027653166634933
-0.16462180626341813,-1.5122323750514401,-2.024581932313422
-0.17404563782385513,-1.5310405210356446,-2.0420352248333655
