x,y,theta
0.0,0.0,-1.6570155918434164
0.002072735283503482,0.023980680672884214,-1.6570155918434162
7.227508429993e-05,-0.0011521046877388365,-1.6503833406858381
-0.00310476768773145,-0.040986895418079136,-1.6503833406858386
-0.005944458233156409,-0.07732388934849801,-1.6482889455834446
-0.0075114830200933265,-0.0979301583411738,-1.646020017555852
-0.009791336929954535,-0.12889953990536673,-1.6439256224534589
-0.011291375408223963,-0.14937510302146245,-1.6439256224534593
-0.013320607646856806,-0.1773928992298561,-1.6427038919770631
-0.015117413230888131,-0.20270743355118195,-1.6416566944258664
-0.01669151602397575,-0.22521815224888608,-1.6406094968746696
-0.018406757609859704,-0.24991155734693846,-1.639562299323473
-0.020061986338736376,-0.2739440662462272,-1.639562299323473
-0.021421710544260304,-0.2939923479984549,-1.6385151017722763
-0.023105843792849474,-0.3188238378982764,-1.6385151017722768
-0.024850589211011104,-0.3445490162742358,-1.6385151017722765
-0.026515699568243935,-0.3693194003249088,-1.6372933712958804
-0.028105162459930725,-0.3935660594344312,-1.636246173744684
-0.02968487665763436,-0.4180608519223748,-1.635198976193487
-0.031114191887344284,-0.4402235823722851,-1.6351989761934875
-0.03321945828966032,-0.47286750222280827,-1.635198976193487
-0.03446678550206096,-0.4929165452884147,-1.632930048165895
-0.035642135772210204,-0.5141625287469613,-1.6252505994571198
-0.03666641289121702,-0.5361993717212044,-1.616523953197148
-0.037400557937224896,-0.5566826262315548,-1.6023867862559942
-0.03799599707777417,-0.5845864153777036,-1.5861552242124466
-0.03819891639468906,-0.6053472193459603,-1.5805701706060649
-0.038156630456198215,-0.6272444539488184,-1.5687019316925033
-0.03757805535876459,-0.6515393222461374,-1.5402530648849961
-0.03643244590422556,-0.6770102099441104,-1.5217525748138563
-0.03507016232494491,-0.7024848419292853,-1.5163420541326738
-0.03382026438151589,-0.7297928312244619,-1.5315264186250237
-0.0332937459396124,-0.7512856341757908,-1.5512486391725597
-0.033154658943795115,-0.7714047232570179,-1.5707963267948966
-0.03353316059693564,-0.7959660300623674,-1.5936601399960224
-0.03439636216964449,-0.8193157118995034,-1.6144295580947547
-0.03577704030949229,-0.8426614572264723,-1.6385151017722763
-0.037568876008633,-0.8649617626627034,-1.6547466638158241
-0.03980848538454759,-0.8873763875344238,-1.6798794050445425
-0.04282651732007613,-0.9119397873465351,-1.7006488231432741
-0.04569595240921342,-0.932002147594325,-1.7201965107656112
-0.048944666854589265,-0.9529602301431256,-1.7268287619231897
-0.05223340550660563,-0.9738661775956664,-1.7268287619231895
-0.056609246036081445,-1.001682645199084,-1.72682876192319
-0.06215170943871239,-1.0370625553301966,-1.7257815643719925
-0.0670746708163734,-1.0687786074597472,-1.7245598338955974
-0.07045764816906305,-1.090925908900904,-1.7212437083168077
-0.07614561469051309,-1.128799887894376,-1.7191493132144147
-0.08109632834283526,-1.1624029122472155,-1.7170549181120214
-0.08545267260906332,-1.1923071217913668,-1.714785990084429
-0.09016729506816266,-1.2250347302606284,-1.7137387925332321
-0.09336633990840998,-1.2474532983242455,-1.7125170620568362
-0.09639709189990471,-1.2686953142931654,-1.7125170620568366
-0.09986830216939248,-1.29293178709101,-1.7137387925332321
-0.1044903131073146,-1.322491782710125,-1.7332864801555687
-0.10923396320216607,-1.349880600090627,-1.7432348568919362
-0.11442867036310422,-1.3761080745353955,-1.7725563883254414
-0.12012806500497714,-1.401819301244103,-1.792278608872977
-0.12621627185899886,-1.4266812809371325,-1.8195057452040884
-0.1331039733354677,-1.4523864107137912,-1.8380062352752287
-0.14134022678029515,-1.4803322187666377,-1.866455102082736
-0.14969289987485174,-1.5062277994695332,-1.8882717177326651
-0.15771611618054768,-1.5294039738839191,-1.9078194053550015
-0.16556699422339116,-1.550802453647656,-1.926494428351341
-0.17346708069265304,-1.5709890804054665,-1.9504054391036634
-0.1825685354642796,-1.5928996215950277,-1.973269252304789
-0.19121065850633778,-1.6126663372117658,-1.991769742375929
-0.20219888189441315,-1.6364266485226353,-2.0125391604746614
