x,y,theta
0.0,0.0,-1.6701055612333737
-0.0019758873885569682,-0.02007948480279318,-1.6688838307569778
-0.004034652265065843,-0.04106026730008414,-1.6678366332057817
-0.007117962756307248,-0.07273397275091822,-1.6678366332057817
-0.009544135111725763,-0.097657141785232,-1.6678366332057815
-0.011909762824963007,-0.12195835815907803,-1.6678366332057815
-0.014234681237637466,-0.1458413829823819,-1.6678366332057815
-0.016186274013964132,-0.1658893719646588,-1.6678366332057815
-0.01917313635548811,-0.1964121815663535,-1.668883830756978
-0.021686795944138165,-0.22195664822067812,-1.668883830756978
-0.02367504831705788,-0.2421617892309234,-1.668883830756978
-0.02665877761254604,-0.27139451859256913,-1.6744688843633597
-0.029335077936417715,-0.2961063076713414,-1.6809266025957386
-0.03194120496821573,-0.31832467504647854,-1.6875588537533175
-0.03512780747375888,-0.3428953316023973,-1.7093754694032461
-0.04044615688719929,-0.3763257958938247,-1.7399187313131468
-0.04679673150716454,-0.41003112792625984,-1.767145867644259
-0.05386069314487047,-0.4423531154086803,-1.7955947344517658
-0.06071907394813566,-0.47042338477897866,-1.817236817176496
-0.06585270953520549,-0.490351606768354,-1.8249162658852711
-0.0720569729819608,-0.5138172176386052,-1.829279589015257
-0.07922780685194304,-0.5409385671190533,-1.829279589015257
-0.08467806072505678,-0.561552381736718,-1.8292795890152567
-0.09329066443791534,-0.5943251801906424,-1.8271851939128638
-0.10256979185984108,-0.629886504261264,-1.8259634634364674
-0.10915485992943623,-0.655187362860817,-1.824916265885271
-0.11661380209231965,-0.6839737957314237,-1.8238690683340741
-0.12168313245090041,-0.7035754418113156,-1.8238690683340741
-0.12726442660204312,-0.7252503159146189,-1.8228218707828776
-0.13501729019781122,-0.7555250110307613,-1.8205529427552851
-0.14149114066885535,-0.7809904418667125,-1.8184585476528916
-0.14672822623284382,-0.801809393472597,-1.817236817176496
-0.15500399459535336,-0.8347080007104327,-1.817236817176496
-0.16096972312602603,-0.8585289337967713,-1.8161896196252991
-0.16721533626866542,-0.8834674357733595,-1.8161896196252996
-0.17410839231743555,-0.9109911532965267,-1.8161896196252996
-0.1800122349698241,-0.9345649783627772,-1.8161896196252996
-0.1867018602752662,-0.9613955999903432,-1.8151424220741028
-0.1931408973560573,-0.9873368655202662,-1.814095224522906
-0.19984979752380838,-1.0144869105605696,-1.8130480269717095
-0.2092245069861855,-1.0524251385531045,-1.8130480269717097
-0.21571400123227125,-1.0785196999170907,-1.8151424220741028
-0.22188509679798296,-1.1032405791726936,-1.8161896196252996
-0.2268234635312679,-1.1229592946496978,-1.8161896196253
-0.23382024420772293,-1.1508452529804378,-1.8172368171764959
-0.24049666307394393,-1.177385976743334,-1.8172368171764959
-0.2480161813597431,-1.2072782680528522,-1.8172368171764957
-0.25499584619965004,-1.235147811271532,-1.8161896196252996
-0.2599094581036069,-1.254767681631807,-1.8161896196252993
-0.26733372907086606,-1.2842813369058725,-1.8172368171764959
-0.2729740629323388,-1.3067033188017732,-1.8172368171764959
-0.2861391197702453,-1.3585957228528327,-1.8195057452040886
-0.29134665696349465,-1.3787379821434929,-1.8259634634364676
-0.31611086834353,-1.4732007077115203,-1.8271851939128638
-0.33967920897627757,-1.5450022450510406,-1.8893189152838616
-0.3482834084681863,-1.5664397616312522,-1.9558159597848457
-0.3567540802072491,-1.586608482963721,-1.9722220547535927
-0.3702054110212134,-1.61663313582881,-1.995085867954718
-0.380696140370623,-1.6387362190346975,-2.021265806734633
-0.3957170513329443,-1.668537160289437,-2.03767190170338
-0.4125590146996146,-1.6992593447421416,-2.081305133003238
-0.4248512651688469,-1.720545228087151,-2.0977112279719843
-0.4371471488873662,-1.7406421316942873,-2.122669436275504
-0.44797953775742505,-1.7579372496621177,-2.130348884984279
-0.4647597314438147,-1.7834079544026271,-2.163161074921772
-0.4789611830758701,-1.8040193269856726,-2.18829381615049
-0.49617586895035326,-1.8272643917933011,-2.2132520244540097
-0.5200650636733886,-1.857985432824882,-2.236115837655135
-0.5465531382510677,-1.8909888897459932,-2.2471114119426994
-0.5726674905451661,-1.9204286624188802,-2.3005184870537256
-0.590281995148479,-1.9391463872331156,-2.327920156310037
-0.6083729484087701,-1.9576590374491152,-2.3464206463811768
-0.6247287544905896,-1.9737347270785182,-2.3659683340035134
-0.6486111791697486,-1.9959757471971031,-2.4008749190433996
-0.6774198751085623,-2.021463838800088,-2.4239132651697246
-0.6971524217872892,-2.038018684735882,-2.4455553478944547
-0.7150891369635947,-2.0525478874010425,-2.4609142453120048
-0.7407250671740777,-2.0721239991943143,-2.4979152254542845
-0.7658612890838022,-2.090302211359221,-2.5176374460018205
-0.7917539266203811,-2.107919640883502,-2.55149683349051
-0.8253216109916361,-2.129536947757323,-2.5743606466916362
-0.8468399377330962,-2.1428217495476316,-2.5884978136327903
-0.8791624210200132,-2.1612966998111616,-2.624626129149073
-0.9012239989641341,-2.1732495695245984,-2.6474899423501985
-0.9250156594913246,-2.1855593940192146,-2.6649432348701416
-0.9457638412497342,-2.19550761064419,-2.6986280894336323
-0.9744317979030858,-2.208566853577566,-2.720619238008761
-0.9985834541292803,-2.218931086510139,-2.738072530528704
-1.025317829299542,-2.229853581187069,-2.7555258230486475
-1.05876226419648,-2.242472104641939,-2.789210677612138
-1.0813981471469651,-2.250657244190198,-2.7946211982933207
-1.1027938993583073,-2.257479127257713,-2.8361600344907854
-1.123371503965245,-2.263644518158896,-2.8546605245619254
-1.14889452512437,-2.2708623483462116,-2.8700194219794755
-1.1808802702942887,-2.2789470745812803,-2.8951521632081936
-1.2014994557793506,-2.2837079773280466,-2.9255208921928952
-1.2249504165596241,-2.288540434636853,-2.9441959151892343
-1.2657689185884422,-2.2959548753110175,-2.968106925941557
-1.2860206106088923,-2.299056748854385,-2.993239667170275
-1.3149224339491774,-2.302857454241885,-3.0204668035013866
-1.3359604023360108,-2.305241791556376,-3.036872898470133
-1.3560453763323241,-2.3071476546658265,-3.0499628678600907
-1.38441058812356,-2.309294367366767,-3.0738738786124133
-1.4192639428724445,-2.3110441163352786,-3.0990066198411315
-1.44555599829106,-2.3117398730989547,-3.119776037939864
-1.4719563041731112,-2.3119014214264055,-3.1372293304598076
-1.493444503465211,-2.3116529619332074,3.128502684199836
-1.5155396325739199,-2.3109585114000817,3.1045916734475134
-1.5396721709852756,-2.3099301805796135,3.099006619841132
-1.5637122959972969,-2.3082514824425955,3.0674161603800343
-1.5866029770292476,-2.306482252954194,3.0641000348012453
-1.628748099920385,-2.3032097638402766,3.0641000348012453
